LSOA21CD,LSOA21NM,household_single_person_aged_66_over,household_couple_with_dependent_children,household_lone_parent_with_dependent_children
E01000001,City of London 001A,129,81,10
E01000002,City of London 001B,101,57,13
E01000003,City of London 001C,160,56,23
E01000005,City of London 001E,47,59,29
E01000006,Barking and Dagenham 016A,26,127,53
E01000007,Barking and Dagenham 015A,28,265,134
E01000008,Barking and Dagenham 015B,17,145,84
E01000009,Barking and Dagenham 016B,44,116,33
E01000011,Barking and Dagenham 016C,19,107,25
E01000012,Barking and Dagenham 015D,28,213,136
E01000013,Barking and Dagenham 013A,49,139,83
E01000014,Barking and Dagenham 013B,58,154,64
E01000015,Barking and Dagenham 009A,48,191,149
E01000016,Barking and Dagenham 009B,51,137,90
E01000017,Barking and Dagenham 009C,48,128,67
E01000018,Barking and Dagenham 009D,39,136,86
E01000019,Barking and Dagenham 023A,30,145,70
E01000020,Barking and Dagenham 023B,63,208,54
E01000021,Barking and Dagenham 008A,49,156,73
E01000022,Barking and Dagenham 008B,43,112,55
E01000024,Barking and Dagenham 008D,28,105,54
E01000025,Barking and Dagenham 008E,105,162,66
E01000027,Barking and Dagenham 001A,61,164,107
E01000028,Barking and Dagenham 001B,85,135,91
E01000029,Barking and Dagenham 001C,125,156,49
E01000030,Barking and Dagenham 001D,62,250,191
E01000031,Barking and Dagenham 002A,82,128,37
E01000032,Barking and Dagenham 002B,76,172,60
E01000033,Barking and Dagenham 006A,66,120,86
E01000034,Barking and Dagenham 003A,63,98,53
E01000035,Barking and Dagenham 010A,49,136,57
E01000036,Barking and Dagenham 010B,49,111,38
E01000037,Barking and Dagenham 003B,66,125,37
E01000038,Barking and Dagenham 003C,78,131,33
E01000039,Barking and Dagenham 003D,76,142,55
E01000040,Barking and Dagenham 019A,55,170,72
E01000041,Barking and Dagenham 017A,47,154,76
E01000042,Barking and Dagenham 017B,61,155,98
E01000043,Barking and Dagenham 019B,50,106,40
E01000044,Barking and Dagenham 016D,36,167,58
E01000045,Barking and Dagenham 017C,47,147,72
E01000046,Barking and Dagenham 017D,54,154,82
E01000049,Barking and Dagenham 021C,38,150,111
E01000050,Barking and Dagenham 019C,60,147,74
E01000051,Barking and Dagenham 021D,11,121,54
E01000052,Barking and Dagenham 019D,66,223,102
E01000053,Barking and Dagenham 020A,89,113,89
E01000054,Barking and Dagenham 018A,53,144,108
E01000055,Barking and Dagenham 018B,38,127,78
E01000056,Barking and Dagenham 018C,41,137,81
E01000057,Barking and Dagenham 012A,42,115,95
E01000058,Barking and Dagenham 018D,43,161,99
E01000059,Barking and Dagenham 013C,63,111,71
E01000060,Barking and Dagenham 006B,79,158,130
E01000061,Barking and Dagenham 006C,45,130,157
E01000062,Barking and Dagenham 006D,95,150,102
E01000063,Barking and Dagenham 004A,60,153,70
E01000064,Barking and Dagenham 006E,59,173,98
E01000065,Barking and Dagenham 007A,127,139,82
E01000066,Barking and Dagenham 011A,90,156,57
E01000067,Barking and Dagenham 011B,68,174,66
E01000068,Barking and Dagenham 016E,30,89,14
E01000069,Barking and Dagenham 011C,42,141,43
E01000070,Barking and Dagenham 011D,47,137,31
E01000071,Barking and Dagenham 011E,88,206,56
E01000072,Barking and Dagenham 017E,64,156,154
E01000073,Barking and Dagenham 012B,92,157,91
E01000074,Barking and Dagenham 012C,64,151,83
E01000075,Barking and Dagenham 012D,65,163,41
E01000076,Barking and Dagenham 012E,65,162,94
E01000077,Barking and Dagenham 008F,41,136,58
E01000078,Barking and Dagenham 007B,41,168,82
E01000079,Barking and Dagenham 009E,78,142,70
E01000080,Barking and Dagenham 007C,35,134,80
E01000081,Barking and Dagenham 007D,50,171,65
E01000082,Barking and Dagenham 007E,51,153,83
E01000083,Barking and Dagenham 007F,47,154,93
E01000084,Barking and Dagenham 013D,46,107,62
E01000085,Barking and Dagenham 013E,55,125,74
E01000086,Barking and Dagenham 013F,43,101,85
E01000087,Barking and Dagenham 020B,39,129,68
E01000088,Barking and Dagenham 020C,43,150,89
E01000089,Barking and Dagenham 020D,41,150,94
E01000090,Barking and Dagenham 020E,35,134,74
E01000091,Barking and Dagenham 022A,42,171,111
E01000093,Barking and Dagenham 022B,41,129,103
E01000094,Barking and Dagenham 022C,11,249,168
E01000095,Barking and Dagenham 018E,42,216,134
E01000096,Barking and Dagenham 022D,17,160,95
E01000097,Barking and Dagenham 023C,109,160,79
E01000098,Barking and Dagenham 023D,52,172,68
E01000099,Barking and Dagenham 023E,50,263,114
E01000100,Barking and Dagenham 004B,43,141,126
E01000101,Barking and Dagenham 004C,56,141,59
E01000102,Barking and Dagenham 007G,66,155,98
E01000103,Barking and Dagenham 014A,33,131,65
E01000104,Barking and Dagenham 014B,56,153,94
E01000105,Barking and Dagenham 014C,95,170,127
E01000106,Barking and Dagenham 014D,92,173,147
E01000107,Barking and Dagenham 010C,71,148,65
E01000108,Barking and Dagenham 010D,51,160,95
E01000110,Barking and Dagenham 002C,49,117,55
E01000111,Barking and Dagenham 002D,126,142,96
E01000112,Barking and Dagenham 002E,66,151,87
E01000113,Barking and Dagenham 002F,44,138,79
E01000114,Barking and Dagenham 004E,55,229,87
E01000115,Barnet 009A,49,113,9
E01000116,Barnet 009B,80,180,28
E01000117,Barnet 010A,103,161,43
E01000118,Barnet 010B,91,193,35
E01000119,Barnet 009C,54,148,41
E01000120,Barnet 009D,47,142,18
E01000121,Barnet 010C,29,111,64
E01000122,Barnet 009E,57,154,29
E01000123,Barnet 010D,65,138,51
E01000124,Barnet 010E,71,135,81
E01000126,Barnet 026A,40,150,77
E01000127,Barnet 024B,30,94,51
E01000128,Barnet 024C,52,145,45
E01000129,Barnet 024D,70,98,70
E01000130,Barnet 021A,36,111,73
E01000131,Barnet 024E,56,128,82
E01000132,Barnet 021B,24,126,66
E01000133,Barnet 021C,52,114,59
E01000134,Barnet 024F,63,138,77
E01000135,Barnet 038A,57,154,20
E01000136,Barnet 038B,65,118,29
E01000137,Barnet 041A,75,112,128
E01000138,Barnet 040A,60,111,45
E01000139,Barnet 041B,61,111,27
E01000140,Barnet 041C,73,154,50
E01000141,Barnet 039A,63,112,61
E01000142,Barnet 040B,59,183,77
E01000143,Barnet 041D,46,96,110
E01000144,Barnet 038C,61,123,24
E01000145,Barnet 037A,48,122,27
E01000146,Barnet 038D,72,115,30
E01000147,Barnet 043F,59,102,18
E01000150,Barnet 036A,59,163,51
E01000151,Barnet 026B,38,123,167
E01000152,Barnet 026C,31,246,109
E01000153,Barnet 026D,75,151,93
E01000154,Barnet 026E,40,121,74
E01000156,Barnet 022A,73,242,60
E01000157,Barnet 022B,64,150,64
E01000158,Barnet 015A,38,130,53
E01000159,Barnet 015B,52,144,49
E01000160,Barnet 015C,43,171,65
E01000161,Barnet 015D,67,174,93
E01000162,Barnet 015E,64,117,39
E01000163,Barnet 022C,58,132,95
E01000164,Barnet 022D,54,139,71
E01000165,Barnet 022E,63,152,69
E01000166,Barnet 003A,77,141,54
E01000167,Barnet 002A,49,112,55
E01000168,Barnet 003B,80,115,14
E01000169,Barnet 003C,70,143,59
E01000170,Barnet 006A,67,203,57
E01000171,Barnet 006B,71,202,167
E01000172,Barnet 003D,76,192,22
E01000173,Barnet 006C,60,172,59
E01000174,Barnet 006D,103,183,75
E01000175,Barnet 006E,66,178,30
E01000176,Barnet 027A,153,87,70
E01000177,Barnet 029A,98,195,45
E01000178,Barnet 027B,86,169,51
E01000179,Barnet 029B,55,203,43
E01000180,Barnet 029C,128,133,48
E01000181,Barnet 029D,56,149,24
E01000182,Barnet 029E,96,156,24
E01000183,Barnet 033A,113,160,30
E01000184,Barnet 027C,46,131,69
E01000185,Barnet 029F,106,87,68
E01000186,Barnet 014A,35,154,19
E01000187,Barnet 014B,100,163,31
E01000188,Barnet 014C,45,153,18
E01000189,Barnet 014D,50,232,112
E01000190,Barnet 014E,66,160,32
E01000191,Barnet 014F,97,139,21
