LSOA21CD,LSOA21NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
E01000001,City of London 001A,1471,52,34,36,17,90,291,336,245,220,115,35
E01000002,City of London 001B,1385,33,24,29,24,100,300,301,297,145,102,30
E01000003,City of London 001C,1611,39,32,36,18,96,353,368,384,171,81,33
E01000005,City of London 001E,1102,52,45,44,79,118,216,208,235,61,32,12
E01000006,Barking and Dagenham 016A,1845,153,127,134,97,124,305,471,276,107,35,16
E01000007,Barking and Dagenham 015A,2906,265,253,230,113,185,678,792,318,43,25,4
E01000008,Barking and Dagenham 015B,1794,122,197,217,149,118,247,396,283,43,16,6
E01000009,Barking and Dagenham 016B,1803,143,123,132,70,116,321,466,271,97,53,11
E01000011,Barking and Dagenham 016C,1704,113,118,151,106,117,291,440,236,82,36,14
E01000012,Barking and Dagenham 015D,2348,274,274,222,112,134,387,578,275,58,29,5
E01000013,Barking and Dagenham 013A,1872,117,177,179,94,112,285,439,299,96,51,23
E01000014,Barking and Dagenham 013B,1750,129,145,156,92,99,270,406,292,91,53,17
E01000015,Barking and Dagenham 009A,2421,215,230,239,120,149,373,544,386,89,51,25
E01000016,Barking and Dagenham 009B,1852,120,145,188,108,112,282,409,324,103,44,17
E01000017,Barking and Dagenham 009C,1724,105,139,177,83,115,232,372,335,97,54,15
E01000018,Barking and Dagenham 009D,1773,115,137,169,95,110,258,428,315,78,53,15
E01000019,Barking and Dagenham 023A,1659,120,159,202,85,83,224,389,263,75,43,16
E01000020,Barking and Dagenham 023B,2192,161,205,218,123,147,285,491,338,102,72,50
E01000021,Barking and Dagenham 008A,1696,130,158,171,91,103,267,384,254,82,43,13
E01000022,Barking and Dagenham 008B,1479,97,127,161,80,81,206,339,246,96,31,15
E01000024,Barking and Dagenham 008D,1484,100,131,134,101,91,221,337,245,79,33,12
E01000025,Barking and Dagenham 008E,1922,139,154,182,103,106,260,428,353,91,41,65
E01000027,Barking and Dagenham 001A,2082,168,174,260,122,120,316,423,315,84,56,44
E01000028,Barking and Dagenham 001B,1817,132,162,174,143,87,252,391,279,95,73,29
E01000029,Barking and Dagenham 001C,1820,108,126,146,90,97,230,384,269,153,161,56
E01000030,Barking and Dagenham 001D,2562,245,289,315,137,105,386,584,328,97,50,26
E01000031,Barking and Dagenham 002A,1768,118,118,135,91,130,254,372,297,137,86,30
E01000032,Barking and Dagenham 002B,2079,177,160,157,93,120,318,483,315,146,79,31
E01000033,Barking and Dagenham 006A,1545,98,161,166,77,75,217,325,262,106,42,16
E01000034,Barking and Dagenham 003A,1574,82,102,124,87,86,231,310,286,126,70,70
E01000035,Barking and Dagenham 010A,1859,122,122,158,113,107,270,409,310,116,78,54
E01000036,Barking and Dagenham 010B,1475,87,105,118,86,110,222,307,274,84,56,26
E01000037,Barking and Dagenham 003B,1698,87,93,113,71,126,282,342,338,125,87,34
E01000038,Barking and Dagenham 003C,1616,96,114,119,70,109,226,310,322,125,87,38
E01000039,Barking and Dagenham 003D,1753,130,135,132,76,102,267,367,305,116,92,31
E01000040,Barking and Dagenham 019A,1878,172,149,150,145,112,238,470,264,107,47,24
E01000041,Barking and Dagenham 017A,1842,122,138,205,101,104,268,437,296,109,48,14
E01000042,Barking and Dagenham 017B,1882,174,173,210,92,117,265,481,250,66,36,18
E01000043,Barking and Dagenham 019B,1539,81,106,133,95,136,238,318,265,80,63,24
E01000044,Barking and Dagenham 016D,1988,155,154,173,108,154,307,462,357,68,37,13
E01000045,Barking and Dagenham 017C,1723,139,148,154,92,101,260,401,273,83,60,12
E01000046,Barking and Dagenham 017D,1958,150,160,196,105,122,297,451,313,112,38,14
E01000049,Barking and Dagenham 021C,1972,166,187,264,178,134,215,515,231,41,30,11
E01000050,Barking and Dagenham 019C,1842,150,167,158,89,93,317,449,260,81,54,24
E01000051,Barking and Dagenham 021D,1107,136,94,91,44,45,306,265,100,20,6,0
E01000052,Barking and Dagenham 019D,2369,238,214,213,114,96,358,610,330,102,68,26
E01000053,Barking and Dagenham 020A,1621,137,130,141,58,93,227,359,279,130,42,25
E01000054,Barking and Dagenham 018A,1871,146,161,195,103,100,251,445,267,118,54,31
E01000055,Barking and Dagenham 018B,1705,126,125,170,119,97,229,365,306,110,46,12
E01000056,Barking and Dagenham 018C,1701,119,145,170,73,109,246,358,295,100,63,23
E01000057,Barking and Dagenham 012A,1549,108,123,171,85,78,223,378,226,102,40,15
E01000058,Barking and Dagenham 018D,2137,150,167,227,140,138,288,505,368,96,44,14
E01000059,Barking and Dagenham 013C,1709,129,136,148,85,98,240,345,301,130,56,41
E01000060,Barking and Dagenham 006B,2180,169,194,266,106,139,281,491,328,106,68,32
E01000061,Barking and Dagenham 006C,1925,163,167,213,118,114,374,410,254,71,27,14
E01000062,Barking and Dagenham 006D,2219,147,172,218,114,155,329,453,381,148,79,23
E01000063,Barking and Dagenham 004A,1778,125,126,195,107,82,241,421,312,93,55,21
E01000064,Barking and Dagenham 006E,2298,172,176,214,114,147,326,530,371,115,84,49
E01000065,Barking and Dagenham 007A,1982,121,141,183,101,102,240,464,365,138,90,37
E01000066,Barking and Dagenham 011A,2499,118,213,249,209,271,318,502,359,151,84,25
E01000067,Barking and Dagenham 011B,2236,169,175,217,124,166,330,461,359,140,58,37
E01000068,Barking and Dagenham 016E,1794,97,103,116,126,131,287,432,310,110,50,32
E01000069,Barking and Dagenham 011C,2096,141,149,155,115,161,415,402,361,120,56,21
E01000070,Barking and Dagenham 011D,2073,146,151,171,98,139,311,465,344,134,72,42
E01000071,Barking and Dagenham 011E,2603,169,202,241,148,187,385,629,388,121,90,43
E01000072,Barking and Dagenham 017E,2148,178,198,212,113,139,317,501,314,100,54,22
E01000073,Barking and Dagenham 012B,1846,132,163,192,93,80,271,431,290,127,39,28
E01000074,Barking and Dagenham 012C,1759,134,145,196,100,107,242,427,250,97,46,15
E01000075,Barking and Dagenham 012D,2082,189,168,179,104,128,308,455,328,131,66,26
E01000076,Barking and Dagenham 012E,2160,135,171,226,124,138,278,505,396,123,51,13
E01000077,Barking and Dagenham 008F,1722,134,140,153,81,122,220,388,333,87,42,22
E01000078,Barking and Dagenham 007B,1895,145,188,210,82,108,260,441,316,83,47,15
E01000079,Barking and Dagenham 009E,1719,129,130,174,87,97,220,392,297,112,57,24
E01000080,Barking and Dagenham 007C,1777,106,137,199,80,134,247,408,346,71,35,14
E01000081,Barking and Dagenham 007D,1972,135,147,186,120,98,308,453,360,116,29,20
E01000082,Barking and Dagenham 007E,1916,125,146,199,105,94,233,488,354,107,54,11
E01000083,Barking and Dagenham 007F,1919,132,184,221,110,90,238,462,313,98,54,17
E01000084,Barking and Dagenham 013D,1440,84,121,151,76,69,195,328,268,86,45,17
E01000085,Barking and Dagenham 013E,1646,110,127,167,95,113,231,396,234,109,51,13
E01000086,Barking and Dagenham 013F,1450,104,110,144,90,84,199,321,243,86,56,13
E01000087,Barking and Dagenham 020B,1636,100,145,168,104,105,252,358,265,90,34,15
E01000088,Barking and Dagenham 020C,1975,131,169,239,96,127,237,439,305,110,80,42
E01000089,Barking and Dagenham 020D,1826,125,190,231,96,103,219,418,292,93,39,20
E01000090,Barking and Dagenham 020E,1705,133,153,196,92,114,207,390,272,77,54,17
E01000091,Barking and Dagenham 022A,2091,139,202,276,131,135,281,465,331,74,36,21
E01000093,Barking and Dagenham 022B,1808,157,140,184,115,96,283,448,267,81,24,13
