facility_category,scenario,eta_sq_h,p_value,n,q_bh_16,significant_bh,facility
education_schools,WALK 15,0.0294,0.0000000000000000000000004195,4360,0.000000000000000000000000745777777777778,TRUE,Schools
food_retail_supermarkets,WALK 15,0.0249,0.000000000000006922,3133,0.0000000000000100683636363636,TRUE,Supermarkets
green_space_parks,WALK 15,0.0522,0.0000000000000000000000000000000000000000005814,4099,0.0000000000000000000000000000000000000000046512,TRUE,Parks
healthcare_gps,WALK 15,0.0081,0.0001584,2917,0.0002112,TRUE,GPs
healthcare_hospitals,WALK 15,0.0034,0.2708,611,0.288853333333333,FALSE,Hospitals
healthcare_pharmacies,WALK 15,0.0227,0.000000000000003915,3496,0.000000000000006264,TRUE,Pharmacies
transport_bus_stops,WALK 15,0.0297,0.0000000000000000000000000008116,4758,0.00000000000000000000000000192548571428571,TRUE,Bus stops
transport_underground_metro_stations,WALK 15,0,0.5908,1332,0.5908,FALSE,Underground/metro
education_schools,WALK + PT 30,0.0387,0.000000000000000000000000000000000002023,4727,0.000000000000000000000000000000000008092,TRUE,Schools
food_retail_supermarkets,WALK + PT 30,0.0444,0.0000000000000000000000000000000000000000112,4686,0.0000000000000000000000000000000000000000597333333333333,TRUE,Supermarkets
green_space_parks,WALK + PT 30,0.066,0.0000000000000000000000000000000000000000000000000000000000000009939,4734,0.0000000000000000000000000000000000000000000000000000000000000159024,TRUE,Parks
healthcare_gps,WALK + PT 30,0.0302,0.000000000000000000000000003799,4584,0.000000000000000000000000007598,TRUE,GPs
healthcare_hospitals,WALK + PT 30,0.003,0.02806,3224,0.0345353846153846,TRUE,Hospitals
healthcare_pharmacies,WALK + PT 30,0.0312,0.00000000000000000000000000008544,4691,0.000000000000000000000000000273408,TRUE,Pharmacies
transport_bus_stops,WALK + PT 30,0.0297,0.0000000000000000000000000008424,4759,0.00000000000000000000000000192548571428571,TRUE,Bus stops
transport_underground_metro_stations,WALK + PT 30,0.0019,0.09832,3105,0.112365714285714,FALSE,Underground/metro
