LSOA21CD,LSOA21NM,borough_name,group,grid_mean_mismatch,grid_mean_lisa_cluster_analytical,grid_local_moran_i_permutation,grid_local_moran_p_permutation,grid_local_moran_q_bh,grid_mean_lisa_cluster_fdr
E01000001,City of London 001A,City of London,caregiving_adults,-4.80879704745989,Low-low surplus cluster,7.95111425072887,0.0001,0.00156,Low-low surplus cluster
E01000002,City of London 001B,City of London,caregiving_adults,-4.37570114112957,Low-low surplus cluster,6.91801210211183,0.0001,0.00156,Low-low surplus cluster
E01000003,City of London 001C,City of London,caregiving_adults,-5.0097392163729,Low-low surplus cluster,6.79890898325802,0.0001,0.00156,Low-low surplus cluster
E01000005,City of London 001E,City of London,caregiving_adults,-3.2455770042707,Low-low surplus cluster,4.58391978699801,0.0001,0.00156,Low-low surplus cluster
E01000006,Barking and Dagenham 016A,Barking and Dagenham,caregiving_adults,2.56972280625098,Not significant,0.661867941623125,0.1999,0.28213197625106,Not significant
E01000007,Barking and Dagenham 015A,Barking and Dagenham,caregiving_adults,0.35451308894619,Not significant,0.164250941879264,0.0272,0.0795444639718805,Not significant
E01000008,Barking and Dagenham 015B,Barking and Dagenham,caregiving_adults,2.5752968937564,High-high mismatch cluster,2.03304451394217,0.0001,0.00156,High-high mismatch cluster
E01000009,Barking and Dagenham 016B,Barking and Dagenham,caregiving_adults,0.0103757357245722,Not significant,0.00393100165468365,0.0585,0.129734340293203,Not significant
E01000011,Barking and Dagenham 016C,Barking and Dagenham,caregiving_adults,1.70063799633817,Not significant,0.818764034151857,0.0322,0.0886610038610039,Not significant
E01000012,Barking and Dagenham 015D,Barking and Dagenham,caregiving_adults,3.11732109121424,High-high mismatch cluster,2.42057124674874,0.0002,0.00244705882352941,High-high mismatch cluster
E01000013,Barking and Dagenham 013A,Barking and Dagenham,caregiving_adults,0.86892451277313,Not significant,0.437561590948176,0.025,0.074954954954955,Not significant
E01000014,Barking and Dagenham 013B,Barking and Dagenham,caregiving_adults,1.64239870915074,High-high mismatch cluster,0.976810083422279,0.0021,0.0129582200247219,High-high mismatch cluster
E01000015,Barking and Dagenham 009A,Barking and Dagenham,caregiving_adults,2.07532211238168,High-high mismatch cluster,1.24988391716756,0.0029,0.0163764705882353,High-high mismatch cluster
E01000016,Barking and Dagenham 009B,Barking and Dagenham,caregiving_adults,2.7431910778381,High-high mismatch cluster,2.09421312664966,0.0001,0.00156,High-high mismatch cluster
