LSOA21CD,LSOA21NM,borough_name,group,grid_mean_mismatch,grid_mean_lisa_cluster_analytical,grid_local_moran_i_permutation,grid_local_moran_p_permutation,grid_local_moran_q_bh,grid_mean_lisa_cluster_fdr
E01000001,City of London 001A,City of London,children_and_adolescents,-4.099204245791,Low-low surplus cluster,6.69445751214008,0.0001,0.00156,Low-low surplus cluster
E01000002,City of London 001B,City of London,children_and_adolescents,-4.25498725559556,Low-low surplus cluster,6.4174157122828,0.0001,0.00156,Low-low surplus cluster
E01000003,City of London 001C,City of London,children_and_adolescents,-5.03508668443889,Low-low surplus cluster,6.70796988128929,0.0001,0.00156,Low-low surplus cluster
E01000005,City of London 001E,City of London,children_and_adolescents,-3.27910354300279,Low-low surplus cluster,4.59211037301368,0.0001,0.00156,Low-low surplus cluster
E01000006,Barking and Dagenham 016A,Barking and Dagenham,children_and_adolescents,1.83085250623486,Not significant,0.509401969443428,0.1846,0.254283443708609,Not significant
E01000007,Barking and Dagenham 015A,Barking and Dagenham,children_and_adolescents,0.347341870287307,High-high mismatch cluster,0.171108528575949,0.0192,0.0548006861063465,Not significant
E01000008,Barking and Dagenham 015B,Barking and Dagenham,children_and_adolescents,2.08014699013304,High-high mismatch cluster,1.42018923364237,0.0005,0.00447311827956989,High-high mismatch cluster
E01000009,Barking and Dagenham 016B,Barking and Dagenham,children_and_adolescents,0.481534990141693,Not significant,0.168720683343689,0.0775,0.140479302832244,Not significant
E01000011,Barking and Dagenham 016C,Barking and Dagenham,children_and_adolescents,1.7613656130786,Not significant,0.714974300301412,0.0651,0.125088221709007,Not significant
E01000012,Barking and Dagenham 015D,Barking and Dagenham,children_and_adolescents,2.62590936352536,High-high mismatch cluster,1.69748539400613,0.0008,0.0061724884080371,High-high mismatch cluster
E01000013,Barking and Dagenham 013A,Barking and Dagenham,children_and_adolescents,1.44729280037466,Not significant,0.684054256404371,0.0382,0.0881212569316081,Not significant
E01000014,Barking and Dagenham 013B,Barking and Dagenham,children_and_adolescents,1.97001520317989,High-high mismatch cluster,1.1055475044074,0.0037,0.0179673151750973,High-high mismatch cluster
E01000015,Barking and Dagenham 009A,Barking and Dagenham,children_and_adolescents,2.35901529822225,High-high mismatch cluster,1.49090552842082,0.0024,0.013312,High-high mismatch cluster
E01000016,Barking and Dagenham 009B,Barking and Dagenham,children_and_adolescents,2.14205070887372,High-high mismatch cluster,1.67698735892742,0.0001,0.00156,High-high mismatch cluster
E01000017,Barking and Dagenham 009C,Barking and Dagenham,children_and_adolescents,2.36687342923625,High-high mismatch cluster,1.63651656962476,0.0014,0.00919578947368421,High-high mismatch cluster
E01000018,Barking and Dagenham 009D,Barking and Dagenham,children_and_adolescents,1.40368298493411,High-high mismatch cluster,1.04767284716774,0.0033,0.0166232088799193,High-high mismatch cluster
E01000019,Barking and Dagenham 023A,Barking and Dagenham,children_and_adolescents,2.35842356586344,High-high mismatch cluster,2.1711250942455,0.0002,0.00242330097087379,High-high mismatch cluster
E01000020,Barking and Dagenham 023B,Barking and Dagenham,children_and_adolescents,2.81911876390094,High-high mismatch cluster,2.70005925773758,0.0001,0.00156,High-high mismatch cluster
E01000021,Barking and Dagenham 008A,Barking and Dagenham,children_and_adolescents,1.99000573861365,High-high mismatch cluster,1.41008067865471,0.0005,0.00447311827956989,High-high mismatch cluster
E01000022,Barking and Dagenham 008B,Barking and Dagenham,children_and_adolescents,2.13127441473002,High-high mismatch cluster,1.83139372593734,0.0007,0.00557320574162679,High-high mismatch cluster
E01000024,Barking and Dagenham 008D,Barking and Dagenham,children_and_adolescents,1.94812157439613,High-high mismatch cluster,1.75937122197675,0.0001,0.00156,High-high mismatch cluster
E01000025,Barking and Dagenham 008E,Barking and Dagenham,children_and_adolescents,2.20334562689193,High-high mismatch cluster,1.76619884601972,0.0001,0.00156,High-high mismatch cluster
E01000027,Barking and Dagenham 001A,Barking and Dagenham,children_and_adolescents,4.55717546953923,High-high mismatch cluster,4.59314014481268,0.0001,0.00156,High-high mismatch cluster
E01000028,Barking and Dagenham 001B,Barking and Dagenham,children_and_adolescents,3.5771375194265,High-high mismatch cluster,4.32345141616215,0.0001,0.00156,High-high mismatch cluster
E01000029,Barking and Dagenham 001C,Barking and Dagenham,children_and_adolescents,2.11972121864546,High-high mismatch cluster,1.83566054581033,0.0001,0.00156,High-high mismatch cluster
