LSOA21CD,LSOA21NM,population_total,children_pct,older_adults_pct,IMD_Source,borough_name,london_ring,caregiver_household_intensity,care_need_score,care_walk_index,care_transit_index,children_walk_index,older_walk_index,imd_status
E01000001,City of London 001A,1471,8.29367777022434,25.1529571719918,direct_2011_lsoa_code,City of London,Inner London,10.9393579072533,8.87830375964453,62.3333333333333,81.1666666666667,61.3333333333333,63.5333333333333,Matched IMD
E01000002,City of London 001B,1385,6.20938628158845,20,direct_2011_lsoa_code,City of London,Inner London,8.85922330097087,6.46327387761678,59.5333333333333,79.7666666666667,62,61.4,Matched IMD
E01000003,City of London 001C,1611,6.64183736809435,17.6908752327747,direct_2011_lsoa_code,City of London,Inner London,7.86627335299902,6.51562789855685,72.4666666666667,86.2333333333334,75.4666666666667,76.3333333333334,Matched IMD
E01000005,City of London 001E,1102,12.7949183303085,9.52813067150635,direct_2011_lsoa_code,City of London,Inner London,22.6415094339623,25.9154356140526,76.7333333333333,89.0666666666667,75.0666666666667,75.3333333333334,Matched IMD
E01000006,Barking and Dagenham 016A,1845,22.4390243902439,8.56368563685637,direct_2011_lsoa_code,Barking and Dagenham,Outer London,46.3898916967509,54.3384524644963,24.8,51.1,35.2,21.4666666666667,Matched IMD
E01000007,Barking and Dagenham 015A,2906,25.739848589126,2.4776324845148,direct_2011_lsoa_code,Barking and Dagenham,Outer London,38.0672268907563,50.5983605879517,51.1333333333333,65.1,61.6,59.4666666666667,Matched IMD
E01000008,Barking and Dagenham 015B,1794,29.8773690078038,3.6231884057971,direct_2011_lsoa_code,Barking and Dagenham,Outer London,52.0871143375681,68.5208768363748,31.1333333333333,55.2333333333333,41.2,34.4666666666667,Matched IMD
E01000009,Barking and Dagenham 016B,1803,22.0743205768164,8.92956184137549,direct_2011_lsoa_code,Barking and Dagenham,Outer London,37.1048252911814,42.2194024781921,41.4,60.8333333333333,42,49,Matched IMD
E01000011,Barking and Dagenham 016C,1704,22.4178403755869,7.74647887323944,direct_2011_lsoa_code,Barking and Dagenham,Outer London,47.6793248945148,51.1518105023578,32.0666666666667,56.4333333333333,36.6666666666667,43.0666666666667,Matched IMD
E01000012,Barking and Dagenham 015D,2348,32.793867120954,3.91822827938671,direct_2011_lsoa_code,Barking and Dagenham,Outer London,52.6181353767561,72.5343008143489,23.2666666666667,48.6333333333333,30.5333333333333,29.8,Matched IMD
E01000013,Barking and Dagenham 013A,1872,25.267094017094,9.08119658119658,direct_2011_lsoa_code,Barking and Dagenham,Outer London,46.5909090909091,59.8018978689629,39.1333333333333,68.9666666666667,31.0666666666667,34.4666666666667,Matched IMD
E01000014,Barking and Dagenham 013B,1750,24.5714285714286,9.2,direct_2011_lsoa_code,Barking and Dagenham,Outer London,41.1671924290221,51.4894860098294,14.4,39.3666666666667,16.6666666666667,7.73333333333333,Matched IMD
E01000015,Barking and Dagenham 009A,2421,28.2527881040892,6.81536555142503,direct_2011_lsoa_code,Barking and Dagenham,Outer London,49.6991576413959,68.3579156618011,22.3333333333333,53.5666666666667,38.6666666666667,17.5333333333333,Matched IMD
E01000016,Barking and Dagenham 009B,1852,24.4600431965443,8.85529157667387,direct_2011_lsoa_code,Barking and Dagenham,Outer London,45.7735247208932,59.582516407077,25.8,62.6666666666667,26.5333333333333,17.8666666666667,Matched IMD
E01000017,Barking and Dagenham 009C,1724,24.4199535962877,9.62877030162413,direct_2011_lsoa_code,Barking and Dagenham,Outer London,39.9665551839465,51.4986910526925,20.6666666666667,58,20.9333333333333,14.5333333333333,Matched IMD
E01000018,Barking and Dagenham 009D,1773,23.7450648618161,8.23463056965595,direct_2011_lsoa_code,Barking and Dagenham,Outer London,41.6149068322981,54.7018127156435,22.4,55.0666666666667,33.3333333333333,16.4,Matched IMD
E01000019,Barking and Dagenham 023A,1659,28.9933694996986,8.07715491259795,direct_2011_lsoa_code,Barking and Dagenham,Outer London,53.6144578313253,68.1954648799882,32.8666666666667,52.8333333333333,40.6666666666667,21.3333333333333,Matched IMD
E01000020,Barking and Dagenham 023B,2192,26.6423357664234,10.2189781021898,direct_2011_lsoa_code,Barking and Dagenham,Outer London,46.9079939668175,55.4522569822273,24.9333333333333,52.6,24.9333333333333,15.6666666666667,Matched IMD
E01000021,Barking and Dagenham 008A,1696,27.063679245283,8.13679245283019,direct_2011_lsoa_code,Barking and Dagenham,Outer London,45.7142857142857,58.7514544538938,37.8666666666667,57.9333333333333,45.2,30.2,Matched IMD
E01000022,Barking and Dagenham 008B,1479,26.0311020960108,9.60108181203516,direct_2011_lsoa_code,Barking and Dagenham,Outer London,45.4926624737946,57.3154228408998,25.3333333333333,50.6666666666667,25.4666666666667,21.5333333333333,Matched IMD
E01000024,Barking and Dagenham 008D,1484,24.5956873315364,8.35579514824798,direct_2011_lsoa_code,Barking and Dagenham,Outer London,45.021645021645,56.3593674377958,30.2666666666667,58.3666666666667,33.4666666666667,21.7333333333333,Matched IMD
E01000025,Barking and Dagenham 008E,1922,24.7138397502602,10.2497398543184,direct_2011_lsoa_code,Barking and Dagenham,Outer London,40.6025824964132,50.4586157661243,14.6,46.5666666666667,15.4666666666667,10.6666666666667,Matched IMD
E01000027,Barking and Dagenham 001A,2082,28.9145052833814,8.83765609990394,direct_2011_lsoa_code,Barking and Dagenham,Outer London,52.4962178517398,69.3275184768498,18,37,10,14,Matched IMD
E01000028,Barking and Dagenham 001B,1817,25.7567418822234,10.842047330765,direct_2011_lsoa_code,Barking and Dagenham,Outer London,44.5337620578778,59.4491497050674,9.4,22,6.66666666666667,6.73333333333333,Matched IMD
E01000029,Barking and Dagenham 001C,1820,20.8791208791209,20.3296703296703,direct_2011_lsoa_code,Barking and Dagenham,Outer London,34.8973607038123,41.4367710811223,19.8,42.5666666666667,15.3333333333333,13.6666666666667,Matched IMD
E01000030,Barking and Dagenham 001D,2562,33.1381733021077,6.75253708040593,direct_2011_lsoa_code,Barking and Dagenham,Outer London,54.0331491712707,77.6236187238612,24.6,42.9333333333333,26.6666666666667,13.9333333333333,Matched IMD
E01000031,Barking and Dagenham 002A,1768,20.9841628959276,14.3099547511312,direct_2011_lsoa_code,Barking and Dagenham,Outer London,37.5838926174497,42.7979452041351,11.4,27.7,10.6666666666667,7.13333333333333,Matched IMD
E01000032,Barking and Dagenham 002B,2079,23.7614237614238,12.3136123136123,direct_2011_lsoa_code,Barking and Dagenham,Outer London,39.8891966759003,48.2266731981579,23.5333333333333,51.7666666666667,28.8,32,Matched IMD
E01000033,Barking and Dagenham 006A,1545,27.5080906148867,10.6148867313916,direct_2011_lsoa_code,Barking and Dagenham,Outer London,42.8828828828829,59.7788230703947,13.0666666666667,42.6666666666667,9.33333333333333,11.4666666666667,Matched IMD
E01000034,Barking and Dagenham 003A,1574,19.5679796696315,16.8996188055909,direct_2011_lsoa_code,Barking and Dagenham,Outer London,35.7833655705996,44.5885594147321,13.4666666666667,38.4333333333333,12.6666666666667,13.7333333333333,Matched IMD
E01000035,Barking and Dagenham 010A,1859,21.624529316837,13.340505648198,direct_2011_lsoa_code,Barking and Dagenham,Outer London,41.5824915824916,49.8815015830548,17.0666666666667,51.5333333333333,9.86666666666667,13.0666666666667,Matched IMD
E01000036,Barking and Dagenham 010B,1475,21.0169491525424,11.2542372881356,direct_2011_lsoa_code,Barking and Dagenham,Outer London,40.8898305084746,47.4542611887942,15.3333333333333,45.8666666666667,8,14,Matched IMD
E01000037,Barking and Dagenham 003B,1698,17.2555948174323,14.4876325088339,direct_2011_lsoa_code,Barking and Dagenham,Outer London,34.406779661017,38.3107219530664,13.4,36.6666666666667,14.6666666666667,7.53333333333333,Matched IMD
E01000038,Barking and Dagenham 003C,1616,20.3589108910891,15.470297029703,direct_2011_lsoa_code,Barking and Dagenham,Outer London,36.7857142857143,41.4960283519007,19,47.7333333333333,20.6666666666667,10.7333333333333,Matched IMD
E01000039,Barking and Dagenham 003D,1753,22.6468910439247,13.6337706788363,direct_2011_lsoa_code,Barking and Dagenham,Outer London,37.3643410852713,45.7451435366443,14.2666666666667,36.3333333333333,19.3333333333333,18.2666666666667,Matched IMD
E01000040,Barking and Dagenham 019A,1878,25.0798722044728,9.47816826411076,direct_2011_lsoa_code,Barking and Dagenham,Outer London,44.969512195122,55.8466242967619,41.8666666666667,62.3333333333333,53.0666666666667,47.0666666666667,Matched IMD
E01000041,Barking and Dagenham 017A,1842,25.2442996742671,9.28338762214984,direct_2011_lsoa_code,Barking and Dagenham,Outer London,49.2537313432836,61.185198892961,35.4,62.2666666666667,39.0666666666667,37.1333333333333,Matched IMD
E01000042,Barking and Dagenham 017B,1882,29.596174282678,6.37619553666313,direct_2011_lsoa_code,Barking and Dagenham,Outer London,45.4128440366972,62.4560587128642,25.5333333333333,51.8333333333333,27.6,22.9333333333333,Matched IMD
E01000043,Barking and Dagenham 019B,1539,20.7927225471085,10.8512020792723,direct_2011_lsoa_code,Barking and Dagenham,Outer London,42.0042643923241,48.7644475683431,28.6666666666667,56,32.4,27.7333333333333,Matched IMD
E01000044,Barking and Dagenham 016D,1988,24.2454728370221,5.93561368209256,direct_2011_lsoa_code,Barking and Dagenham,Outer London,44.7647951441578,53.0948143698051,48.4,64.8666666666667,66.9333333333333,57.5333333333333,Matched IMD
E01000045,Barking and Dagenham 017C,1723,25.5948926291352,8.9959373186303,direct_2011_lsoa_code,Barking and Dagenham,Outer London,45.8333333333333,58.3525580127459,38.6,67.7,42,41.6666666666667,Matched IMD
E01000046,Barking and Dagenham 017D,1958,25.8426966292135,8.3758937691522,direct_2011_lsoa_code,Barking and Dagenham,Outer London,44.8640483383686,57.5401082240493,23.1333333333333,53.1,26,20.2,Matched IMD
E01000049,Barking and Dagenham 021C,1972,31.2880324543611,4.15821501014199,direct_2011_lsoa_code,Barking and Dagenham,Outer London,54.7660311958406,75.4683328795336,45.6666666666667,63.1,54,48.2,Matched IMD
E01000050,Barking and Dagenham 019C,1842,25.7871878393051,8.63192182410423,direct_2011_lsoa_code,Barking and Dagenham,Outer London,44.2675159235669,56.4058889273944,55,68.5666666666667,59.8666666666667,70.9333333333333,Matched IMD
E01000051,Barking and Dagenham 021D,1107,28.9972899728997,2.3486901535682,direct_2011_lsoa_code,Barking and Dagenham,Outer London,42.4942263279446,57.1798611165216,57.6,69.6666666666667,67.8666666666667,70.2666666666667,Matched IMD
E01000052,Barking and Dagenham 019D,2369,28.0709159983115,8.27353313634445,direct_2011_lsoa_code,Barking and Dagenham,Outer London,49.3702770780856,62.930238030869,42.0666666666667,61.3,40.8,49,Matched IMD
E01000053,Barking and Dagenham 020A,1621,25.1696483652067,12.1529919802591,direct_2011_lsoa_code,Barking and Dagenham,Outer London,37.6543209876543,52.426004023056,26.8666666666667,54.5666666666667,38,27.6666666666667,Matched IMD
E01000054,Barking and Dagenham 018A,1871,26.8305718866916,10.8498129342598,direct_2011_lsoa_code,Barking and Dagenham,Outer London,48.2003129890454,65.3551513094656,39.2666666666667,63.3333333333333,53.2,41.5333333333333,Matched IMD
E01000055,Barking and Dagenham 018B,1705,24.692082111437,9.8533724340176,direct_2011_lsoa_code,Barking and Dagenham,Outer London,44.8154657293497,58.2419471123369,21.2,47.6,26.5333333333333,17.0666666666667,Matched IMD
E01000056,Barking and Dagenham 018C,1701,25.5144032921811,10.9347442680776,direct_2011_lsoa_code,Barking and Dagenham,Outer London,45.9363957597173,60.2018332880331,33.6,53.9333333333333,51.2,36.6666666666667,Matched IMD
E01000057,Barking and Dagenham 012A,1549,25.9522272433828,10.135571336346,direct_2011_lsoa_code,Barking and Dagenham,Outer London,48.8679245283019,66.5033789556111,37.7333333333333,63.6666666666667,39.6,33.2,Matched IMD
E01000058,Barking and Dagenham 018D,2137,25.4562470753393,7.20636406176883,direct_2011_lsoa_code,Barking and Dagenham,Outer London,46.2750716332378,60.3335251356584,33.4,63.7,36,33.9333333333333,Matched IMD
E01000059,Barking and Dagenham 013C,1709,24.1661790520772,13.2826214160328,direct_2011_lsoa_code,Barking and Dagenham,Outer London,41.6812609457093,54.0523563648832,31.6666666666667,62.0333333333333,50.9333333333334,34.0666666666667,Matched IMD
E01000060,Barking and Dagenham 006B,2180,28.8532110091743,9.44954128440367,direct_2011_lsoa_code,Barking and Dagenham,Outer London,42.5061425061425,60.6000337189124,34.8666666666667,60.5,38,37.3333333333333,Matched IMD
E01000061,Barking and Dagenham 006C,1925,28.2077922077922,5.81818181818182,direct_2011_lsoa_code,Barking and Dagenham,Outer London,42.0424403183024,64.7128294978493,45.0666666666667,71.3333333333334,52.8,46.4666666666667,Matched IMD
E01000062,Barking and Dagenham 006D,2219,24.2000901306895,11.2663361874718,direct_2011_lsoa_code,Barking and Dagenham,Outer London,41.4602346805737,54.7414292467879,20.2,51.9,22,21,Matched IMD
E01000063,Barking and Dagenham 004A,1778,25.0843644544432,9.50506186726659,direct_2011_lsoa_code,Barking and Dagenham,Outer London,44.2492012779553,55.4428032132043,40.5333333333333,67.2666666666667,41.7333333333333,32.3333333333333,Matched IMD
E01000064,Barking and Dagenham 006E,2298,24.4560487380331,10.7919930374238,direct_2011_lsoa_code,Barking and Dagenham,Outer London,42.1717171717172,54.5524912018555,15.6,49.0666666666667,8.66666666666667,12.1333333333333,Matched IMD
E01000065,Barking and Dagenham 007A,1982,22.452068617558,13.3703329969728,direct_2011_lsoa_code,Barking and Dagenham,Outer London,34.6055979643766,45.2020867421258,28.1333333333333,55.1,37.4666666666667,23.6,Matched IMD
E01000066,Barking and Dagenham 011A,2499,23.2092837134854,10.4041616646659,direct_2011_lsoa_code,Barking and Dagenham,Outer London,46.1971830985916,53.0267954252094,17.8,43.1666666666667,23.3333333333333,14.8666666666667,Matched IMD
E01000067,Barking and Dagenham 011B,2236,25.0894454382827,10.5098389982111,direct_2011_lsoa_code,Barking and Dagenham,Outer London,48.8619119878604,58.2002548199656,26.7333333333333,51.2666666666667,33.3333333333333,27.8,Matched IMD
E01000068,Barking and Dagenham 016E,1794,17.6142697881828,10.7023411371237,direct_2011_lsoa_code,Barking and Dagenham,Outer London,41.6842105263158,41.3601363869805,32.5333333333333,58.4666666666667,40.5333333333333,28.1333333333333,Matched IMD
E01000069,Barking and Dagenham 011C,2096,21.2309160305344,9.39885496183206,direct_2011_lsoa_code,Barking and Dagenham,Outer London,48.0373831775701,53.6150868453646,26.7333333333333,49.4333333333333,33.2,24.6666666666667,Matched IMD
E01000070,Barking and Dagenham 011D,2073,22.575976845152,11.96333815726,direct_2011_lsoa_code,Barking and Dagenham,Outer London,43.5233160621762,47.7815536080021,44.1333333333333,66.9,54.6666666666667,40.9333333333333,Matched IMD
E01000071,Barking and Dagenham 011E,2603,23.5113330772186,9.75797157126393,direct_2011_lsoa_code,Barking and Dagenham,Outer London,45.5900621118013,51.595261511396,30.8666666666667,52.9333333333333,30.1333333333333,34.7333333333333,Matched IMD
E01000072,Barking and Dagenham 017E,2148,27.3743016759777,8.19366852886406,direct_2011_lsoa_code,Barking and Dagenham,Outer London,49.5923913043478,70.809270800644,24.3333333333333,49.7333333333333,27.2,33.1333333333333,Matched IMD
E01000073,Barking and Dagenham 012B,1846,26.3813651137595,10.5092091007584,direct_2011_lsoa_code,Barking and Dagenham,Outer London,44.9624060150376,59.1822181763686,33.2,57.8666666666667,47.4666666666667,28.2666666666667,Matched IMD
E01000074,Barking and Dagenham 012C,1759,27.003979533826,8.98237635019898,direct_2011_lsoa_code,Barking and Dagenham,Outer London,44.408945686901,58.5984858776744,22.2666666666667,53.4666666666667,27.8666666666667,20.2666666666667,Matched IMD
E01000075,Barking and Dagenham 012D,2082,25.7444764649376,10.7108549471662,direct_2011_lsoa_code,Barking and Dagenham,Outer London,42.9467084639499,49.9334049982253,37.7333333333333,65.1666666666667,38.2666666666667,36.4,Matched IMD
E01000076,Barking and Dagenham 012E,2160,24.6296296296296,8.65740740740741,direct_2011_lsoa_code,Barking and Dagenham,Outer London,38.3647798742138,50.8598075679515,19.4,52.2,19.2,15.4,Matched IMD
E01000077,Barking and Dagenham 008F,1722,24.7967479674797,8.76887340301975,direct_2011_lsoa_code,Barking and Dagenham,Outer London,42.2818791946309,52.1865102474352,29.3333333333333,55.4333333333333,39.3333333333333,20.1333333333333,Matched IMD
