borough_name,n_lsoas,family_access_mean,working_access_mean,older_access_mean,children_access_mean,general_access_mean,family_mismatch_mean,working_mismatch_mean,older_mismatch_mean,children_mismatch_mean,mean_imd_decile,family_access_rank,working_access_rank,older_access_rank,children_access_rank,family_mismatch_rank,working_mismatch_rank,older_mismatch_rank,children_mismatch_rank
City of London,6,62.4,63.59,68.1,62.4,60.97,-52.53,-55.32,-37.82,-52.53,6.67,1,1,1,1,33,33,32,33
Kensington and Chelsea,101,56.08,54.25,54.7,56.08,50.56,-28.45,-30.31,-21.75,-28.45,5.17,5,3,2,5,31,31,23,31
Westminster,123,56.29,55.37,53.8,56.29,51.84,-31.17,-32.8,-25.71,-31.17,5.43,4,2,3,4,32,32,27,32
Islington,126,56.94,51.56,53.44,56.94,48.64,-26.53,-22.81,-31.93,-26.53,3.64,3,4,4,3,30,29,31,30
Tower Hamlets,169,57.47,49.47,53.44,57.47,47.31,-18.83,-15.9,-40.73,-18.83,3.69,2,6,4,2,27,27,33,27
Camden,130,53.75,51.12,50.43,53.75,47.75,-22.61,-23.29,-22.35,-22.61,5.42,6,5,6,6,29,30,24,29
Hackney,149,53.42,46.36,48.98,53.42,43.67,-13.14,-9.34,-30.22,-13.14,2.74,7,8,7,7,24,24,30,24
Hammersmith and Fulham,115,51.71,48.06,48.03,51.71,44.37,-20.05,-19.57,-23.63,-20.05,4.82,9,7,8,9,28,28,26,28
Southwark,173,51.83,45,46.03,51.83,42.05,-17.35,-11.63,-26.62,-17.35,4.05,8,9,9,8,26,25,29,26
Lambeth,181,47.78,42.73,42.62,47.78,39.48,-15.95,-11.86,-22.82,-15.95,3.95,10,10,10,10,25,26,25,25
Newham,185,44.93,39.96,41.62,44.93,36.9,5.18,6.65,-26.04,5.18,3.08,12,12,11,12,20,16,28,20
Haringey,147,45,40.9,40.84,45,37.56,-5.22,-3.53,-16.71,-5.22,3.9,11,11,12,11,22,22,22,22
Wandsworth,186,43.48,39.14,38.18,43.48,35.85,-8.73,-8.59,-16.36,-8.73,6.21,13,13,13,13,23,23,21,23
Waltham Forest,146,39.33,36.17,38.06,39.33,33.24,6.6,5.96,-14.82,6.6,4.08,15,15,14,15,18,19,20,18
Lewisham,175,41.63,36.51,36.1,41.63,33.31,0.64,3.64,-14.57,0.64,3.76,14,14,15,14,21,21,19,21
Ealing,199,37.16,34.14,34.99,37.16,31.23,7.63,6.42,-8.33,7.63,4.8,17,16,16,17,17,18,17,17
Merton,126,38.13,33.79,34.5,38.13,31.16,6.41,5.25,-6.71,6.41,6.89,16,17,17,16,19,20,15,19
Greenwich,164,37,32.87,31.4,37,29.41,7.96,8.77,-7.53,7.96,4.34,18,19,18,18,16,14,16,16
Brent,181,33.69,32.96,30.91,33.69,29.21,10.04,7.86,-5.52,10.04,4.16,21,18,19,21,15,15,14,15
Richmond upon Thames,115,33.77,30.76,30.59,33.77,27.85,10.95,6.6,5.48,10.95,8.32,20,20,20,20,14,17,6,14
Barking and Dagenham,115,34.18,30.24,29.19,34.18,27.08,27.51,28.09,-8.46,27.51,2.7,19,22,21,19,1,1,18,1
Sutton,123,32.73,29.15,28.7,32.73,26.36,14.56,12.38,5.14,14.56,7.1,22,25,22,22,10,11,7,10
Croydon,229,31.58,29.48,28.23,31.58,26.17,14.31,13.61,1.39,14.31,5.02,25,24,23,25,11,10,11,11
Kingston upon Thames,99,31.45,28.26,27.55,31.45,25.44,12.7,10.01,4.4,12.7,7.62,26,28,24,26,13,12,8,13
Hounslow,150,32.01,29.52,27.27,32.01,26.22,15.88,13.73,-1.29,15.88,4.83,24,23,25,24,9,8,13,9
Barnet,220,32.3,30.32,27.12,32.3,26.75,13.47,9.64,4.31,13.47,6.38,23,21,26,23,12,13,9,12
Enfield,183,30.39,28.77,26.81,30.39,25.47,19.91,19.85,3.44,19.91,4.4,28,26,27,28,6,3,10,6
Redbridge,164,31.09,28.41,26.74,31.09,25.11,21.25,18.36,0.48,21.25,5.99,27,27,28,27,3,4,12,3
Harrow,144,26.45,26.45,24.33,26.45,23.07,19.46,13.62,8.28,19.46,6.55,29,29,29,29,7,9,5,7
Bromley,199,25.92,24.38,23.6,25.92,21.43,17.62,13.75,15.14,17.62,7.11,31,31,30,31,8,7,2,8
Bexley,148,25.98,24.8,22.67,25.98,21.33,20.03,16.51,14.21,20.03,6.51,30,30,31,30,5,6,3,5
Havering,153,24.13,23.06,21.4,24.13,20.1,20.09,16.57,17.47,20.09,6.35,32,32,32,32,4,5,1,4
Hillingdon,170,23.96,22.49,20,23.96,19.58,24.4,20.75,10.18,24.4,5.91,33,33,33,33,2,2,4,2
