LSOA21CD,LSOA21NM,borough_name,london_ring,population_total,household_total,IMD_Decile,children_pct,household_dependent_children_total,household_couple_with_dependent_children,household_lone_parent_with_dependent_children,caregiver_households_count,caregiver_household_intensity,lone_parent_intensity,care_need_score,care_walk_index,care_transit_index,care_transit_gain,care_mismatch_index,care_demand_group
E01000001,City of London 001A,City of London,Inner London,1471,841,9,8.29367777022434,92,81,10,92,10.9393579072533,1.18906064209275,8.87830375964453,62.3333333333333,81.1666666666667,18.8333333333333,-53.4550295736888,Low care-demand household intensity
E01000002,City of London 001B,City of London,Inner London,1385,824,10,6.20938628158845,73,57,13,73,8.85922330097087,1.57766990291262,6.46327387761678,59.5333333333333,79.7666666666667,20.2333333333333,-53.0700594557166,Low care-demand household intensity
E01000003,City of London 001C,City of London,Inner London,1611,1017,5,6.64183736809435,80,56,23,80,7.86627335299902,2.26155358898722,6.51562789855685,72.4666666666667,86.2333333333334,13.7666666666667,-65.9510387681098,Low care-demand household intensity
E01000005,City of London 001E,City of London,Inner London,1102,477,3,12.7949183303085,108,59,29,108,22.6415094339623,6.07966457023061,25.9154356140526,76.7333333333333,89.0666666666667,12.3333333333333,-50.8178977192807,Low care-demand household intensity
E01000006,Barking and Dagenham 016A,Barking and Dagenham,Outer London,1845,554,5,22.4390243902439,257,127,53,257,46.3898916967509,9.56678700361011,54.3384524644963,24.8,51.1,26.3,29.5384524644963,High care-demand household intensity
E01000007,Barking and Dagenham 015A,Barking and Dagenham,Outer London,2906,1190,3,25.739848589126,453,265,134,453,38.0672268907563,11.2605042016807,50.5983605879517,51.1333333333333,65.1,13.9666666666667,-0.534972745381623,High care-demand household intensity
E01000008,Barking and Dagenham 015B,Barking and Dagenham,Outer London,1794,551,2,29.8773690078038,287,145,84,287,52.0871143375681,15.2450090744102,68.5208768363748,31.1333333333333,55.2333333333333,24.1,37.3875435030415,High care-demand household intensity
E01000009,Barking and Dagenham 016B,Barking and Dagenham,Outer London,1803,601,3,22.0743205768164,223,116,33,223,37.1048252911814,5.49084858569052,42.2194024781921,41.4,60.8333333333333,19.4333333333333,0.819402478192089,High care-demand household intensity
E01000011,Barking and Dagenham 016C,Barking and Dagenham,Outer London,1704,474,3,22.4178403755869,226,107,25,226,47.6793248945148,5.27426160337553,51.1518105023578,32.0666666666667,56.4333333333333,24.3666666666667,19.0851438356912,High care-demand household intensity
E01000012,Barking and Dagenham 015D,Barking and Dagenham,Outer London,2348,783,2,32.793867120954,412,213,136,412,52.6181353767561,17.3690932311622,72.5343008143489,23.2666666666667,48.6333333333333,25.3666666666667,49.2676341476822,High care-demand household intensity
E01000013,Barking and Dagenham 013A,Barking and Dagenham,Outer London,1872,616,2,25.267094017094,287,139,83,287,46.5909090909091,13.474025974026,59.8018978689629,39.1333333333333,68.9666666666667,29.8333333333333,20.6685645356296,High care-demand household intensity
E01000014,Barking and Dagenham 013B,Barking and Dagenham,Outer London,1750,634,2,24.5714285714286,261,154,64,261,41.1671924290221,10.0946372239748,51.4894860098294,14.4,39.3666666666667,24.9666666666667,37.0894860098294,High care-demand household intensity
