facility_category,scenario,n_all,H_all,p_value_all,eta_sq_h_all,n_direct_only,H_direct_only,p_value_direct_only,eta_sq_h_direct_only,eta_sq_change_direct_minus_all
education_schools,walk_15min,4360,137.047585142761,4.1948502049795e-25,0.0294362264696003,4217,127.842802389752,3.29199444819498e-23,0.0282488239576307,-0.00118740251196961
education_schools,walk_transit_30min,4727,191.474109554248,2.02330454536543e-36,0.0386843564880747,4575,181.236088215742,2.79641467435264e-34,0.0377297016901954,-0.00095465479787929
food_retail_supermarkets,walk_15min,3133,86.8629343667235,6.9216522219973e-15,0.0249320955384962,3009,86.7509845068873,7.28795592175974e-15,0.0259256367145339,0.000993541176037779
food_retail_supermarkets,walk_transit_30min,4686,216.534443685329,1.12040221648678e-41,0.0443829007025938,4534,210.788640912311,1.80537702504595e-40,0.0446040320318989,0.00022113132930511
green_space_parks,walk_15min,4099,222.644637302501,5.81393506494136e-43,0.0522486273667158,3957,217.199721186418,8.11951634039357e-42,0.0527488525934679,0.000500225226752075
green_space_parks,walk_transit_30min,4734,320.818499621236,9.9386306669911e-64,0.0660073030527596,4581,311.55277029109,9.22765443366692e-62,0.0661896237784053,0.000182320725645654
healthcare_gps,walk_15min,2917,32.5735417382911,0.00015841107274967,0.00810923348410426,2809,32.006591246742,0.000198606848228693,0.00821957529358414,0.000110341809479877
healthcare_gps,walk_transit_30min,4584,146.936908800283,3.79893373604349e-27,0.0301567356362665,4434,142.479957337023,3.17188010669487e-26,0.0301717805915513,1.50449552848188e-05
healthcare_hospitals,walk_15min,611,11.0718876772347,0.270813582942255,0.00344740046128909,587,11.0893900947502,0.269631452286608,0.0036211266806762,0.000173726219387106
healthcare_hospitals,walk_transit_30min,3224,18.6800183107446,0.0280553484037938,0.00301182897036235,3109,20.6178205792111,0.01445981413644,0.00374889337825463,0.000737064407892282
healthcare_pharmacies,walk_15min,3496,88.0990178842501,3.91533126848038e-15,0.0226904813207832,3370,91.6123897976652,7.72546916836396e-16,0.0245870207731146,0.00189653945233147
healthcare_pharmacies,walk_transit_30min,4691,154.890337894904,8.543592987849e-29,0.0311664896165145,4539,154.13501209876,1.22553261556998e-28,0.0320457081251402,0.000879218508625657
transport_bus_stops,walk_15min,4758,150.174295769809,8.11603189500539e-28,0.0297334237088899,4604,149.063923710874,1.37825958132264e-27,0.0304884466066333,0.000755022897743436
transport_bus_stops,walk_transit_30min,4759,150.096336404862,8.42352430071458e-28,0.0297107467687644,4605,148.978287619485,1.43570468411527e-27,0.030463174672358,0.000752427903593644
transport_underground_metro_stations,walk_15min,1332,7.44633044689282,0.590754188387887,-0.00117524171944567,1274,7.14202444186309,0.622335368863825,-0.00146991737194376,-0.000294675652498088
transport_underground_metro_stations,walk_transit_30min,3105,14.7402628204683,0.0983220710718862,0.00185468911808346,2978,12.403606231492,0.19150012266324,0.0011467675982116,-0.000707921519871861
