term,estimate,std_error,t_value,p_value,sample,model,r_squared,n
(Intercept),4.3269136944357,0.360367482451076,12.0069481991154,9.56494752716868e-33,all_imd_matches,gp_time,0.147738958265273,4813
older_adults_pct,0.169103379049789,0.0147916775208317,11.4323327297823,6.99002855974426e-30,all_imd_matches,gp_time,0.147738958265273,4813
children_pct,0.182780762260284,0.0158798712635372,11.5102168794012,2.9105617366817e-30,all_imd_matches,gp_time,0.147738958265273,4813
IMD_Decile,0.109389852880098,0.0307038598883571,3.56273944962793,0.000370563536218923,all_imd_matches,gp_time,0.147738958265273,4813
london_ringOuter London,1.58190914630007,0.154489294100785,10.2396036923314,2.33990033060536e-24,all_imd_matches,gp_time,0.147738958265273,4813
(Intercept),74.9299516545605,1.20964941626758,61.9435273120373,0,all_imd_matches,older_access,0.321341077908614,4813
older_adults_pct,-0.900896401488221,0.0496513835182715,-18.1444370257416,3.22238750222853e-71,all_imd_matches,older_access,0.321341077908614,4813
children_pct,-1.0122777847684,0.0533041351946896,-18.9906051579512,1.32812296169075e-77,all_imd_matches,older_access,0.321341077908614,4813
IMD_Decile,-0.774623243044321,0.103063977744315,-7.51594553206585,6.6999854500725e-14,all_imd_matches,older_access,0.321341077908614,4813
london_ringOuter London,-8.64675886124183,0.518575880258496,-16.6740475028103,9.9870634196537e-61,all_imd_matches,older_access,0.321341077908614,4813
(Intercept),73.8442757366315,1.17937195973153,62.6132197966124,0,all_imd_matches,children_access,0.335859841712685,4813
older_adults_pct,-0.865587902638978,0.048408612194438,-17.8808658914298,2.79001002868024e-69,all_imd_matches,children_access,0.335859841712685,4813
children_pct,-0.703958849716607,0.0519699357027998,-13.5455016481516,4.73182807536715e-41,all_imd_matches,children_access,0.335859841712685,4813
IMD_Decile,-0.793964379241309,0.100484292205166,-7.90137803449136,3.39388287618424e-15,all_imd_matches,children_access,0.335859841712685,4813
london_ringOuter London,-10.7278220914781,0.505595955278565,-21.2181722964288,1.38581377036856e-95,all_imd_matches,children_access,0.335859841712685,4813
(Intercept),-4.43398337257193,0.0694199394505707,-63.871899164203,0,all_imd_matches,older_mismatch,0.740959056525099,4813
older_adults_pct,0.238200432541747,0.00284941735276549,83.5961893439594,0,all_imd_matches,older_mismatch,0.740959056525099,4813
children_pct,0.06148931358291,0.0030590432136098,20.1008319559991,2.34649447193948e-86,all_imd_matches,older_mismatch,0.740959056525099,4813
IMD_Decile,0.017842926900331,0.00591468486515825,3.01671641128992,0.0025686607683625,all_imd_matches,older_mismatch,0.740959056525099,4813
london_ringOuter London,0.4347293047237,0.0297602807259224,14.6077017460737,2.55610959152733e-47,all_imd_matches,older_mismatch,0.740959056525099,4813
(Intercept),4.24836521500308,0.369975960965894,11.4828141912569,4.08169793987103e-30,direct_matches_only,gp_time,0.147774256793109,4659
older_adults_pct,0.172712163424809,0.0151668221621213,11.3874984211362,1.187767746024e-29,direct_matches_only,gp_time,0.147774256793109,4659
children_pct,0.18671035924752,0.0162438130653946,11.4942445161034,3.58896517274222e-30,direct_matches_only,gp_time,0.147774256793109,4659
IMD_Decile,0.103928692516783,0.0309916108386015,3.35344597149289,0.000804497110280444,direct_matches_only,gp_time,0.147774256793109,4659
london_ringOuter London,1.55775990905538,0.157408266737804,9.89630304264866,7.25446717372884e-23,direct_matches_only,gp_time,0.147774256793109,4659
(Intercept),75.6129476570737,1.23984338192556,60.9858864106221,0,direct_matches_only,older_access,0.323399735927645,4659
older_adults_pct,-0.919740293919924,0.050826232151557,-18.0957795804612,8.73804522430863e-71,direct_matches_only,older_access,0.323399735927645,4659
children_pct,-1.04408834193273,0.0544353856769141,-19.1803241393314,5.61652890956226e-79,direct_matches_only,older_access,0.323399735927645,4659
IMD_Decile,-0.769913019470914,0.103857406013994,-7.41317397593365,1.4569330392146e-13,direct_matches_only,older_access,0.323399735927645,4659
london_ringOuter London,-8.45834553975981,0.527498049510383,-16.0348375650123,2.30425233614278e-56,direct_matches_only,older_access,0.323399735927645,4659
(Intercept),74.3245315187488,1.20882101222708,61.485141941582,0,direct_matches_only,children_access,0.335739009909008,4659
older_adults_pct,-0.885780913177488,0.0495544988123529,-17.8748839037129,3.62774999091292e-69,direct_matches_only,children_access,0.335739009909008,4659
children_pct,-0.731426972066222,0.0530733469841513,-13.7814367027699,2.21838244491992e-42,direct_matches_only,children_access,0.335739009909008,4659
IMD_Decile,-0.775972081169287,0.101258769047212,-7.66325809083741,2.1919138604371e-14,direct_matches_only,children_access,0.335739009909008,4659
london_ringOuter London,-10.4664499423425,0.514299415113736,-20.3508882856261,2.86001309961489e-88,direct_matches_only,children_access,0.335739009909008,4659
(Intercept),-4.47057868047025,0.0711409916021351,-62.8411072124567,0,direct_matches_only,older_mismatch,0.740735142786449,4659
older_adults_pct,0.238972803802847,0.00291635912033217,81.9421730803951,0,direct_matches_only,older_mismatch,0.740735142786449,4659
children_pct,0.0634367045920003,0.0031234487934161,20.3098269853881,6.16798047350686e-88,direct_matches_only,older_mismatch,0.740735142786449,4659
IMD_Decile,0.017594678708063,0.00595923562344319,2.95250596214838,0.00316781478567657,direct_matches_only,older_mismatch,0.740735142786449,4659
london_ringOuter London,0.423015745657218,0.0302673183221572,13.9759902464682,1.63756084340776e-43,direct_matches_only,older_mismatch,0.740735142786449,4659
