IMD_Decile,n_lsoas,reachable_lsoas,missing_lsoas,reachable_pct,mean_time_min,median_time_min,q1_time_min,q3_time_min,min_time_min,max_time_min
1,104,70,34,67.3,7.91,8.5,5,11,1,15
2,686,477,209,69.5,8.17,8,5,11,0,15
3,806,554,252,68.7,8.22,8,6,11,0,15
4,658,428,230,65,8.54,8.5,6,12,0,15
5,557,325,232,58.3,8.7,9,6,12,0,15
6,530,320,210,60.4,8.64,9,6,11,0,15
7,436,236,200,54.1,9.14,9,6,12,0,15
8,411,218,193,53,9.02,9,6,12,1,15
9,407,179,228,44,8.92,9,6,12,1,15
10,218,110,108,50.5,9.59,10,7,13,0,15
