LSOA21CD,LSOA21NM,IMD_Decile,older_adults_pct,older_basket_time,older_basket_mismatch,older_basket_policy_class,children_pct,children_basket_time,children_basket_mismatch,children_basket_policy_class
E01000001,City of London 001A,9,25.1529571719918,5.66666666666667,High need / high access,Other,8.29367777022434,5.66666666666667,Low need / high access,Low need / high access
E01000002,City of London 001B,10,20,5.33333333333333,High need / high access,Other,6.20938628158845,5,Low need / high access,Low need / high access
E01000003,City of London 001C,5,17.6908752327747,3,High need / high access,Other,6.64183736809435,3,Low need / high access,Low need / high access
E01000005,City of London 001E,3,9.52813067150635,3.33333333333333,Low need / high access,Low need / high access,12.7949183303085,4,Low need / high access,Low need / high access
E01000006,Barking and Dagenham 016A,5,8.56368563685637,11.6666666666667,Low need / low access,Other,22.4390243902439,9.33333333333333,High need / high access,Other
E01000007,Barking and Dagenham 015A,3,2.4776324845148,5,Low need / high access,Low need / high access,25.739848589126,4.33333333333333,High need / high access,Other
E01000008,Barking and Dagenham 015B,2,3.6231884057971,9.33333333333333,Low need / high access,Low need / high access,29.8773690078038,7,High need / high access,Other
E01000009,Barking and Dagenham 016B,3,8.92956184137549,7.33333333333333,Low need / high access,Low need / high access,22.0743205768164,9,High need / high access,Other
E01000011,Barking and Dagenham 016C,3,7.74647887323944,7.33333333333333,Low need / high access,Low need / high access,22.4178403755869,8.33333333333333,High need / high access,Other
E01000012,Barking and Dagenham 015D,2,3.91822827938671,9.66666666666667,Low need / high access,Low need / high access,32.793867120954,8.66666666666667,High need / high access,Other
E01000013,Barking and Dagenham 013A,2,9.08119658119658,11.3333333333333,Low need / low access,Other,25.267094017094,13,High need / low access,High need / low access
E01000014,Barking and Dagenham 013B,2,9.2,16,Low need / low access,Other,24.5714285714286,13.6666666666667,High need / low access,High need / low access
E01000015,Barking and Dagenham 009A,2,6.81536555142503,11.6666666666667,Low need / low access,Other,28.2527881040892,8,High need / high access,Other
E01000016,Barking and Dagenham 009B,3,8.85529157667387,14.6666666666667,Low need / low access,Other,24.4600431965443,13,High need / low access,High need / low access
E01000017,Barking and Dagenham 009C,2,9.62877030162413,14.6666666666667,Low need / low access,Other,24.4199535962877,13,High need / low access,High need / low access
E01000018,Barking and Dagenham 009D,2,8.23463056965595,13,Low need / low access,Other,23.7450648618161,10,High need / low access,High need / low access
E01000019,Barking and Dagenham 023A,2,8.07715491259795,14,Low need / low access,Other,28.9933694996986,9.66666666666667,High need / low access,High need / low access
E01000020,Barking and Dagenham 023B,2,10.2189781021898,15.3333333333333,Low need / low access,Other,26.6423357664234,12.6666666666667,High need / low access,High need / low access
E01000021,Barking and Dagenham 008A,2,8.13679245283019,12,Low need / low access,Other,27.063679245283,8.66666666666667,High need / high access,Other
E01000022,Barking and Dagenham 008B,2,9.60108181203516,13.3333333333333,Low need / low access,Other,26.0311020960108,12,High need / low access,High need / low access
E01000024,Barking and Dagenham 008D,3,8.35579514824798,14,Low need / low access,Other,24.5956873315364,11,High need / low access,High need / low access
E01000025,Barking and Dagenham 008E,2,10.2497398543184,14.6666666666667,Low need / low access,Other,24.7138397502602,13,High need / low access,High need / low access
E01000027,Barking and Dagenham 001A,2,8.83765609990394,16,Low need / low access,Other,28.9145052833814,16,High need / low access,High need / low access
E01000028,Barking and Dagenham 001B,2,10.842047330765,16,Low need / low access,Other,25.7567418822234,15.3333333333333,High need / low access,High need / low access
E01000029,Barking and Dagenham 001C,4,20.3296703296703,16,High need / low access,High need / low access,20.8791208791209,14.6666666666667,High need / low access,High need / low access
E01000030,Barking and Dagenham 001D,2,6.75253708040593,16,Low need / low access,Other,33.1381733021077,12.6666666666667,High need / low access,High need / low access
E01000031,Barking and Dagenham 002A,4,14.3099547511312,16,High need / low access,High need / low access,20.9841628959276,14.6666666666667,High need / low access,High need / low access
E01000032,Barking and Dagenham 002B,3,12.3136123136123,8.66666666666667,High need / high access,Other,23.7614237614238,9.66666666666667,High need / low access,High need / low access
E01000033,Barking and Dagenham 006A,2,10.6148867313916,15,Low need / low access,Other,27.5080906148867,14.6666666666667,High need / low access,High need / low access
E01000034,Barking and Dagenham 003A,2,16.8996188055909,14,High need / low access,High need / low access,19.5679796696315,14,High need / low access,High need / low access
E01000035,Barking and Dagenham 010A,4,13.340505648198,15,High need / low access,High need / low access,21.624529316837,15.3333333333333,High need / low access,High need / low access
E01000036,Barking and Dagenham 010B,5,11.2542372881356,14,High need / low access,High need / low access,21.0169491525424,16,High need / low access,High need / low access
E01000037,Barking and Dagenham 003B,5,14.4876325088339,15.6666666666667,High need / low access,High need / low access,17.2555948174323,13.6666666666667,Low need / low access,Other
E01000038,Barking and Dagenham 003C,5,15.470297029703,16,High need / low access,High need / low access,20.3589108910891,13.3333333333333,High need / low access,High need / low access
E01000039,Barking and Dagenham 003D,4,13.6337706788363,12,High need / low access,High need / low access,22.6468910439247,12,High need / low access,High need / low access
E01000040,Barking and Dagenham 019A,2,9.47816826411076,7,Low need / high access,Low need / high access,25.0798722044728,6.33333333333333,High need / high access,Other
E01000041,Barking and Dagenham 017A,3,9.28338762214984,10.3333333333333,Low need / low access,Other,25.2442996742671,9.33333333333333,High need / high access,Other
E01000042,Barking and Dagenham 017B,2,6.37619553666313,13,Low need / low access,Other,29.596174282678,11.3333333333333,High need / low access,High need / low access
E01000043,Barking and Dagenham 019B,3,10.8512020792723,11.3333333333333,Low need / low access,Other,20.7927225471085,10.3333333333333,High need / low access,High need / low access
E01000044,Barking and Dagenham 016D,3,5.93561368209256,4,Low need / high access,Low need / high access,24.2454728370221,3,High need / high access,Other
E01000045,Barking and Dagenham 017C,2,8.9959373186303,8.66666666666667,Low need / high access,Low need / high access,25.5948926291352,9.66666666666667,High need / low access,High need / low access
