population_dimension,population_group,facility_category,n_lsoas,reachable_pct,mean_time_min,median_time_min,q1_time_min,q3_time_min
Children share,High children share (top quartile),education_schools,1249,90.9,7.46,7,5,10
Children share,Low children share (bottom quartile),education_schools,1249,93.1,6.65,6,4,9
Children share,High children share (top quartile),green_space_parks,1249,82.9,8.02,8,5,11
Children share,Low children share (bottom quartile),green_space_parks,1249,90.6,6.64,6,4,9
Children share,High children share (top quartile),healthcare_gps,1249,54.1,8.81,9,6,12
Children share,Low children share (bottom quartile),healthcare_gps,1249,78.1,7.82,8,5,11
Older-adult share,High older-adult share (top quartile),education_schools,1249,81.5,8.86,9,6,12
Older-adult share,Low older-adult share (bottom quartile),education_schools,1249,94.6,6.8,7,4,9
Older-adult share,High older-adult share (top quartile),green_space_parks,1249,73.7,8.92,9,6,12
Older-adult share,Low older-adult share (bottom quartile),green_space_parks,1249,93.4,6.54,6,4,9
Older-adult share,High older-adult share (top quartile),healthcare_gps,1249,42.8,9.34,10,7,12.75
Older-adult share,Low older-adult share (bottom quartile),healthcare_gps,1249,74.9,8.03,8,5,11
