osm_type,osm_id,name,category,lon,lat,source_geometry_type
node,26542844,,education_schools,-0.1678725,51.4007103,Point
node,32544804,Wood End Infant School,education_schools,-0.3493892,51.5535239,Point
node,33228431,Hounslow Heath Infant and Nursery School,education_schools,-0.3858009,51.4675474,Point
node,33228440,Hounslow Education Centre,education_schools,-0.3858224,51.4680668,Point
node,33228443,Hounslow Heath Junior School,education_schools,-0.3836201,51.4673317,Point
node,36470220,Wood End Academy (Junior),education_schools,-0.3474633,51.5537407,Point
node,60473138,Noak Hill School,education_schools,0.2259836,51.6217494,Point
node,245097346,St Matthew Academy West Campus,education_schools,-0.0023261,51.4636891,Point
node,248443928,Tolworth Infant and Nursery School,education_schools,-0.292373,51.3818653,Point
node,248443969,Tolworth Junior School,education_schools,-0.2921156,51.3820689,Point
node,251385772,The Pheasant Nursery,education_schools,-0.4398324,51.4855842,Point
node,270801800,Little Heath School,education_schools,0.1185925,51.5841912,Point
node,290017298,Little Gems Nursery,education_schools,-0.1201696,51.448645,Point
node,294758605,Children's Centre Services SureStart Euston,education_schools,-0.1335601,51.5314094,Point
node,294758628,St. Aloysius' School Nursery,education_schools,-0.131964,51.5328177,Point
node,326122985,Saint Anne's Catholic High School for Girls,education_schools,-0.0797211,51.6504431,Point
node,366346399,Abbey Wood School,education_schools,0.1079972,51.4930958,Point
node,412953065,Maple Infants' School,education_schools,-0.3070887,51.3950417,Point
node,412953066,St Andrew's and St Mark's CofE Junior School,education_schools,-0.3066939,51.395363,Point
node,484206463,Christian Education Centre,education_schools,-0.1587266,51.4355644,Point
node,548660241,Mount Stewart Junior School,education_schools,-0.3032563,51.5781287,Point
node,548660249,Mount Stewart Infant School,education_schools,-0.3011411,51.578403,Point
node,597295791,EF International Language Center,education_schools,-0.1078595,51.505039,Point
node,615733146,Alphabet House,education_schools,0.0594574,51.5109715,Point
node,652832590,London Study Centre,education_schools,-0.2064696,51.4751467,Point
node,686667365,The Learning Tree Day Nursery,education_schools,0.0122118,51.4307896,Point
node,702052235,Devonshire House,education_schools,-0.1764217,51.5529722,Point
node,734707001,GEO London Centre,education_schools,-0.1165517,51.5211293,Point
node,909388318,Heathside Preparatory School,education_schools,-0.1765474,51.558535,Point
node,957642916,"Gloucester House, The Tavistock Children's Day Unit",education_schools,-0.1747067,51.5507388,Point
node,1124698511,Rainbow Montessori School,education_schools,-0.2071263,51.5386365,Point
node,1221718414,Paint Pots Montessori School,education_schools,-0.1940476,51.5181701,Point
node,1230534001,Cherry Tree Nursery,education_schools,-0.1971784,51.515657,Point
node,1373926000,Bancroft's Prep School,education_schools,0.0247271,51.6212506,Point
node,1437305576,Bayswater Maria Montessori Children's House,education_schools,-0.1912221,51.5115535,Point
node,1738491735,Learning & Enterprise College Bexley,education_schools,0.1263723,51.4609092,Point
node,1893971980,Lubavitch House School (Senior Girls),education_schools,-0.0732644,51.5721193,Point
node,2294043174,Sudbury Hill Montessori School,education_schools,-0.3332682,51.5508358,Point
node,2494054442,St Catherine of Siena 6th Form Centre,education_schools,-0.3042944,51.5833245,Point
node,2511315808,Alleyn's Junior School,education_schools,-0.0799751,51.4563679,Point
node,2622714732,Milne’s House,education_schools,-0.1296934,51.4984001,Point
node,2622714733,Ashburnham House,education_schools,-0.1297177,51.4983481,Point
node,2625325473,Oshwal Gujurati School,education_schools,-0.1099267,51.386784,Point
node,2706219314,Ashburton Primary School,education_schools,-0.0623001,51.3871935,Point
node,2932567512,The Davis School,education_schools,0.0096522,51.6257896,Point
node,3160157258,London School of Arts,education_schools,-0.0810993,51.6523072,Point
node,3217450161,Oasis Academy,education_schools,-0.1115481,51.4987413,Point
node,3738244456,Nikon school,education_schools,-0.1403028,51.5167298,Point
node,3911006575,Explore Learning,education_schools,-0.1875357,51.4673998,Point
