osm_type,osm_id,name,category,lon,lat,source_geometry_type
node,254005151,Priory Hospital,healthcare_hospitals,-0.1183042,51.6320636,Point
node,289563831,Bridge Lane Health Centre,healthcare_hospitals,-0.1663173,51.4732684,Point
node,296563324,British Home & Hospital for Incurables,healthcare_hospitals,-0.1070682,51.423089,Point
node,444635673,Chelsfield Park Hospital,healthcare_hospitals,0.1316749,51.3582569,Point
node,637882835,Sloane Hospital,healthcare_hospitals,-0.0045395,51.4082042,Point
node,1131534975,Queen Mary's Childrens' Hospital,healthcare_hospitals,-0.1848418,51.3797984,Point
node,1971677516,Chapel Orchard Day Surgery,healthcare_hospitals,-0.1715368,51.4020487,Point
node,2778453137,The Portland Hospital,healthcare_hospitals,-0.1435858,51.5224709,Point
node,5567284557,Day Surgery Centre,healthcare_hospitals,-0.0930863,51.4690343,Point
node,6237807570,Dermatology Entrance,healthcare_hospitals,-0.0172982,51.4530939,Point
node,6295492762,Schoen Clinic,healthcare_hospitals,-0.1498767,51.5162998,Point
node,6295862569,North London Hospice Winchmore Hill,healthcare_hospitals,-0.0925094,51.6249907,Point
node,10995777570,Sexual Health Clinic,healthcare_hospitals,-0.1123103,51.3911811,Point
node,10995777571,Macmillan Cancer Support Centres,healthcare_hospitals,-0.1115896,51.3895435,Point
node,10995801768,Main Reception,healthcare_hospitals,-0.1111571,51.3892531,Point
node,10995804162,Patient Advice and Liaison Service (PALS),healthcare_hospitals,-0.108499,51.388644,Point
node,10995804163,Maternity Reception,healthcare_hospitals,-0.1110591,51.3912926,Point
node,10995804164,Fertility Treatment,healthcare_hospitals,-0.1102788,51.3911477,Point
node,10995804171,Gynaecology Department,healthcare_hospitals,-0.1093613,51.3905149,Point
node,10995804179,Women's Health Unit,healthcare_hospitals,-0.1110648,51.3909333,Point
node,10995804180,Croydon Heart Centre,healthcare_hospitals,-0.11113,51.3887004,Point
node,10995804184,Dental Department,healthcare_hospitals,-0.1097438,51.3902698,Point
node,10995804185,Dermatology Department,healthcare_hospitals,-0.1099614,51.3904846,Point
node,10995804186,Diabetic Department,healthcare_hospitals,-0.108209,51.3886983,Point
node,10995804187,MRI,healthcare_hospitals,-0.1088304,51.3888297,Point
node,10995804195,Main X-Ray,healthcare_hospitals,-0.1087926,51.3891088,Point
node,10995804196,Vascular Ultrasound,healthcare_hospitals,-0.1103441,51.3891619,Point
node,10995804197,Wound Clinic,healthcare_hospitals,-0.1102589,51.3890953,Point
node,10995804198,Moorfields Eye Unit,healthcare_hospitals,-0.1099839,51.3893068,Point
node,10995804199,The Willows (Children's Clinic),healthcare_hospitals,-0.1097382,51.389144,Point
node,10995804200,Day Surgery Unit (DSU),healthcare_hospitals,-0.1107072,51.3898664,Point
node,10995811829,Emergency Department,healthcare_hospitals,-0.1092569,51.3887022,Point
node,11170258999,King's College Hospital Emergency Department,healthcare_hospitals,-0.0927953,51.4687588,Point
node,12026398668,Dental Hospital,healthcare_hospitals,-0.0927114,51.4691229,Point
node,12187913901,Great Ormond Street Outpatients - Zebra and Hippo Clinic Areas,healthcare_hospitals,-0.1213221,51.5216322,Point
node,12313941685,Hounslow Medical Centre,healthcare_hospitals,-0.3772728,51.4694387,Point
node,12601902086,National Hospital for Neurology and Neurosurgery at Cleveland Street,healthcare_hospitals,-0.1380023,51.5196573,Point
node,12842417237,Medlabs Diagnostics,healthcare_hospitals,-0.1124702,51.5208997,Point
node,12873147549,Proton International @ UCLH,healthcare_hospitals,-0.1363481,51.5238264,Point
node,12873147555,HCA Healthcare UK Laboratories,healthcare_hospitals,-0.1352478,51.5225872,Point
node,12873180107,Optimal Vision,healthcare_hospitals,-0.1302119,51.5199661,Point
node,12873245976,Until SOHO,healthcare_hospitals,-0.1299683,51.5145533,Point
node,12875654728,Queen Square Imaging Centre,healthcare_hospitals,-0.1230571,51.5217376,Point
node,12886273770,Tunica Diagnostics,healthcare_hospitals,-0.1300121,51.5145501,Point
node,12924662500,Clinical Research Facility,healthcare_hospitals,-0.1360165,51.5227136,Point
node,13006104317,Sleep & Health Clinic,healthcare_hospitals,-0.1403723,51.5234503,Point
node,13262025383,"Neonatal Unit, L1 Z2",healthcare_hospitals,0.0367652,51.5229852,Point
node,13262504860,A&E Department,healthcare_hospitals,0.0343603,51.5229803,Point
node,13262504861,Rainbow Ward,healthcare_hospitals,0.0350684,51.5233041,Point
node,13436406358,Moorfields at Hoxton,healthcare_hospitals,-0.0898754,51.5346809,Point
way,4211785,St Ann's Hospital,healthcare_hospitals,-0.08786791246519822,51.580088950000004,MultiPolygon
way,4271138,North Middlesex University Hospital,healthcare_hospitals,-0.07361673295030607,51.61275585,MultiPolygon
way,4356408,The Wilson Hospital,healthcare_hospitals,-0.16315830636309064,51.39751415,MultiPolygon
way,4363883,Hammersmith Hospital,healthcare_hospitals,-0.23622437089891515,51.5176352,MultiPolygon
way,4379364,Barnet Hospital,healthcare_hospitals,-0.21423324791209003,51.650778700000004,MultiPolygon
way,4536914,St George's Hospital,healthcare_hospitals,-0.1758360142029976,51.426433,MultiPolygon
way,4822314,St. Helier Hospital,healthcare_hospitals,-0.18427821573317915,51.3803766,MultiPolygon
way,4907493,Barnes Hospital,healthcare_hospitals,-0.25586387630546836,51.4671869,MultiPolygon
