osm_type,osm_id,name,category,lon,lat,source_geometry_type
node,31472697,Shilun's Pharmacy,healthcare_pharmacies,-0.3189623,51.5517548,Point
node,31472798,C.K. Pharmacy,healthcare_pharmacies,-0.3159253,51.5554815,Point
node,31476173,Curapharm Chemist,healthcare_pharmacies,-0.3357604,51.5575874,Point
node,31552276,Vantage Dispensing,healthcare_pharmacies,-0.3216197,51.5666342,Point
node,32544806,Bright Health Pharmacy,healthcare_pharmacies,-0.3391271,51.5509115,Point
node,32546482,Kings Pharmacy,healthcare_pharmacies,-0.3544798,51.5189016,Point
node,36214438,Kings Pharmacy,healthcare_pharmacies,-0.3731775,51.5618016,Point
node,36222576,Parade Pharmacy,healthcare_pharmacies,-0.3458887,51.5421903,Point
node,36312229,Medipharmacy,healthcare_pharmacies,-0.1609632,51.3656066,Point
node,36509164,Church Pharmacy,healthcare_pharmacies,-0.3350774,51.5088908,Point
node,37155030,SG Barai Pharmacy,healthcare_pharmacies,-0.1808644,51.3698642,Point
node,37160049,Kamsons Pharmacy,healthcare_pharmacies,-0.1714801,51.3717385,Point
node,37552362,Frith's Chemist,healthcare_pharmacies,-0.2166091,51.3580823,Point
node,40985266,V E Lettsom Pharmacy,healthcare_pharmacies,-0.0823783,51.470918,Point
node,42220098,,healthcare_pharmacies,-0.3328055,51.5346557,Point
node,130157250,AP Chemist,healthcare_pharmacies,-0.1777997,51.4183326,Point
node,196086906,Stafford Pharmacy,healthcare_pharmacies,-0.1391261,51.3596275,Point
node,248042438,Day Lewis Pharmacy,healthcare_pharmacies,-0.1340619,51.3534016,Point
node,248915405,Kamsons Pharmacy,healthcare_pharmacies,-0.1361307,51.465528,Point
node,248933566,Pearl Pharmacy,healthcare_pharmacies,-0.1310695,51.4642728,Point
node,250355930,Touchwood Pharmacy,healthcare_pharmacies,-0.1298321,51.4305542,Point
node,251707420,Rowlands Pharmacy,healthcare_pharmacies,0.0020946,51.3924102,Point
node,251734567,Pyramid Pharmacy,healthcare_pharmacies,-0.3270092,51.5035878,Point
node,252523582,Judd's Pharmacy,healthcare_pharmacies,-0.0836755,51.5295582,Point
node,255006104,Boots,healthcare_pharmacies,-0.1240166,51.5787615,Point
node,255012041,Petter Pharmacy,healthcare_pharmacies,-0.1240567,51.5800874,Point
node,255396266,Superdrug,healthcare_pharmacies,-0.0981903,51.5145339,Point
node,255396287,DMB Chemist,healthcare_pharmacies,-0.0568886,51.5141644,Point
node,255603270,Nashi Pharmacy,healthcare_pharmacies,-0.1907156,51.5154107,Point
node,255603311,,healthcare_pharmacies,-0.1874337,51.5163792,Point
node,258016398,H E Matthews Pharmacy,healthcare_pharmacies,-0.1624822,51.3549247,Point
node,261287286,Harfleur Pharmacy,healthcare_pharmacies,-0.1225219,51.4720118,Point
node,262447419,Safedale Pharmacy,healthcare_pharmacies,-0.0833827,51.5610097,Point
node,262637190,Safedale,healthcare_pharmacies,-0.0785831,51.5623014,Point
node,262637211,Benjamin Chemist,healthcare_pharmacies,-0.0734295,51.5621185,Point
node,263015294,,healthcare_pharmacies,-0.3501578,51.5514752,Point
node,266392844,Cubitt Town Pharmacy,healthcare_pharmacies,-0.0074982,51.4887603,Point
node,266748269,Boots,healthcare_pharmacies,-0.2250257,51.368573,Point
node,268503198,Boots,healthcare_pharmacies,-0.17544,51.630385,Point
node,268517393,Mulgrave Road Pharmacy,healthcare_pharmacies,-0.2150702,51.3547652,Point
node,273933961,Zafash,healthcare_pharmacies,-0.1899825,51.4894164,Point
node,278080082,Boots,healthcare_pharmacies,-0.1746128,51.3846004,Point
node,279051554,Anna Pharmacy,healthcare_pharmacies,-0.1737786,51.384412,Point
node,279104454,Clarks Healthcare,healthcare_pharmacies,-0.0770832,51.5352208,Point
node,281578832,Britannia Pharmacy,healthcare_pharmacies,-0.049473,51.5283611,Point
node,282377767,,healthcare_pharmacies,-0.059066,51.4645227,Point
node,283162530,Osbon Pharmacy,healthcare_pharmacies,0.0123796,51.5189029,Point
node,283218344,Harfleur Pharmacy,healthcare_pharmacies,-0.0824823,51.4966866,Point
node,283609440,Rumsey Pharmacy,healthcare_pharmacies,-0.0854665,51.4509697,Point
node,285593928,Boots,healthcare_pharmacies,-0.1442671,51.4957712,Point
node,288562229,Alisha Pharmacy,healthcare_pharmacies,-0.2656072,51.5017624,Point
node,291674458,Day Lewis Pharmacy,healthcare_pharmacies,-0.1558068,51.440189,Point
node,292011669,Day Lewis Pharmacy,healthcare_pharmacies,-0.1202675,51.454244,Point
node,293741408,Boots,healthcare_pharmacies,-0.1706793,51.5336261,Point
node,297990776,The Hampton Pharmacy,healthcare_pharmacies,-0.3779045,51.426347,Point
node,299610015,Apex Pharmacy,healthcare_pharmacies,-0.0951737,51.5407273,Point
node,299610461,Savemain Pharmacy,healthcare_pharmacies,-0.0965676,51.5399919,Point
node,299610629,Essex Chemist & Opticians,healthcare_pharmacies,-0.1008878,51.5372774,Point
node,300413499,Harleys Pharmacy,healthcare_pharmacies,-0.175179,51.4934414,Point
node,302172072,Dillons Pharmacy,healthcare_pharmacies,-0.2709354,51.5067461,Point
node,302397664,Dajani Pharmacy,healthcare_pharmacies,-0.1778092,51.4924901,Point
node,305383277,,healthcare_pharmacies,-0.3061388,51.5498767,Point
node,305386889,Jade Pharmacy,healthcare_pharmacies,-0.2972306,51.5453923,Point
node,305394867,Niks Pharmacy,healthcare_pharmacies,-0.2979123,51.5415741,Point
node,305410610,S&S Chemists,healthcare_pharmacies,-0.2608302,51.5410908,Point
node,305442665,,healthcare_pharmacies,-0.3056942,51.5625741,Point
node,306035966,Benzpharm,healthcare_pharmacies,-0.0963483,51.5368353,Point
node,308053700,Macks Pharmacy,healthcare_pharmacies,-0.0408319,51.3989391,Point
node,308064709,Lotus Pharmacy,healthcare_pharmacies,-0.0424149,51.398893,Point
node,311481380,Boots,healthcare_pharmacies,-0.1798385,51.5251912,Point
node,311877309,Holborn Pharmacy,healthcare_pharmacies,-0.1219873,51.5199062,Point
node,313735526,Simmonds Pharmacy,healthcare_pharmacies,-0.141429,51.4876539,Point
node,322979603,Superdrug,healthcare_pharmacies,-0.0936964,51.4853896,Point
node,331362136,Boots,healthcare_pharmacies,-0.1080197,51.5936265,Point
node,331534998,Clan Pharmacy,healthcare_pharmacies,-0.1027719,51.5401675,Point
node,333722505,Shiv,healthcare_pharmacies,-0.1430477,51.5169739,Point
node,336287864,Hornsey Road Pharmacy,healthcare_pharmacies,-0.1110296,51.5560697,Point
node,343537957,All Cures Pharmacy,healthcare_pharmacies,-0.0920732,51.5859818,Point
