osm_type,osm_id,name,category,lon,lat,source_geometry_type
node,107557,Rotherhithe Tunnel,transport_bus_stops,-0.0544337,51.4995342,Point
node,108289,Buckingham Palace,transport_bus_stops,-0.1427649,51.4994913,Point
node,108837,Monument Station,transport_bus_stops,-0.0870901,51.5094651,Point
node,108926,St Mary's Church,transport_bus_stops,-0.102328,51.5384334,Point
node,109507,Harbinger School / Masthouse Terrace Pier,transport_bus_stops,-0.021092,51.4893651,Point
node,109960,Richmond Avenue,transport_bus_stops,-0.1136285,51.539428,Point
node,110149,Epworth Street,transport_bus_stops,-0.0871484,51.5225824,Point
node,195437,Barnet High Street / Barnet Church,transport_bus_stops,-0.1988456,51.6525735,Point
node,196095,Long Lane,transport_bus_stops,-0.1885631,51.6048794,Point
node,196373,,transport_bus_stops,-0.1423215,51.6094028,Point
node,196430,Green Lanes,transport_bus_stops,-0.1074899,51.6125561,Point
node,196432,Green Lanes,transport_bus_stops,-0.1071686,51.6125414,Point
node,196677,Childs Way,transport_bus_stops,-0.1998756,51.5845658,Point
node,196714,Finchley Road,transport_bus_stops,-0.1973758,51.5722205,Point
node,197980,Earls Court Station,transport_bus_stops,-0.1925148,51.4918902,Point
node,198088,Randell's Road,transport_bus_stops,-0.1226729,51.5378392,Point
node,198089,Vale Royal,transport_bus_stops,-0.1255191,51.5418827,Point
node,198220,North Road / Goodinge Health Centre,transport_bus_stops,-0.1256133,51.5478705,Point
node,198766,Chandos Road,transport_bus_stops,-0.1710336,51.5961811,Point
node,199062,Hail & Ride Broughton Gardens,transport_bus_stops,-0.1354233,51.5788783,Point
node,199492,Portland Rise,transport_bus_stops,-0.0971413,51.5698279,Point
node,199510,Green Lanes,transport_bus_stops,-0.0916587,51.564115,Point
node,210530,,transport_bus_stops,0.1239634,51.5316714,Point
node,222414,Ajax Avenue,transport_bus_stops,-0.2527545,51.5938708,Point
node,279635,Northolt Station,transport_bus_stops,-0.3691923,51.5473057,Point
node,294770,Wingate Square,transport_bus_stops,-0.1410093,51.4634919,Point
node,406328,Stoke Newington Station,transport_bus_stops,-0.073115,51.5646008,Point
node,563953,Southend Road,transport_bus_stops,0.0359074,51.5921744,Point
node,618602,White Hart Lane,transport_bus_stops,-0.0861846,51.6049552,Point
node,629243,Deptford Bridge,transport_bus_stops,-0.0235749,51.475227,Point
node,629370,Greenwich High Road / Blackheath Road,transport_bus_stops,-0.0206419,51.4747106,Point
node,819553,Leyton High Road / Leyton Station,transport_bus_stops,-0.0066018,51.5586182,Point
node,819751,Leyton High Road / Leyton Station,transport_bus_stops,-0.0059497,51.5582323,Point
node,3202378,Greenwich South Street / Blackheath Road,transport_bus_stops,-0.0146489,51.4737199,Point
node,3202477,Ashburnham Grove,transport_bus_stops,-0.0135616,51.4747916,Point
node,3427640,Canada Street,transport_bus_stops,-0.0465659,51.4985074,Point
node,7258157,Nightingale Lane,transport_bus_stops,-0.1226488,51.5870846,Point
node,7992368,The Spires,transport_bus_stops,-0.2041743,51.6563611,Point
node,10529808,Baring Street,transport_bus_stops,-0.0904337,51.5367119,Point
node,10606316,St John Street / Goswell Road,transport_bus_stops,-0.1061206,51.5313169,Point
node,11947034,Snakes Lane East,transport_bus_stops,0.047443,51.6043211,Point
node,12197047,Knightsbridge Station,transport_bus_stops,-0.1600108,51.50088,Point
node,12238562,Borough Station,transport_bus_stops,-0.0942322,51.5005988,Point
node,12893533,Archway Station,transport_bus_stops,-0.1352655,51.5661056,Point
node,13676110,Roman Road Market,transport_bus_stops,-0.0273953,51.5348924,Point
node,13783805,Cephas Street,transport_bus_stops,-0.0549431,51.5231749,Point
node,13824275,Champion Hill,transport_bus_stops,-0.0902224,51.4649865,Point
node,18064187,Morning Lane / Trelawney Estate,transport_bus_stops,-0.0529135,51.5465331,Point
node,18130224,Pimlico Academy & Library,transport_bus_stops,-0.13732,51.4883236,Point
node,21041978,Vale Crescent / Robin Hood,transport_bus_stops,-0.2564612,51.4350667,Point
node,21300847,Skardu Road,transport_bus_stops,-0.2120121,51.5538133,Point
node,21390705,Broad Green Avenue,transport_bus_stops,-0.1097413,51.3853036,Point
node,21392082,Waterloo Station / Upper Taxi Road,transport_bus_stops,-0.1130508,51.5037706,Point
node,21542682,Brent Cross Shopping Centre,transport_bus_stops,-0.2234283,51.575653,Point
node,21598819,,transport_bus_stops,0.1198037,51.5857232,Point
node,21676325,Warwick Gardens,transport_bus_stops,-0.0937018,51.5813295,Point
node,21687803,Fleet Street / City Thameslink,transport_bus_stops,-0.1046794,51.5152733,Point
node,24631247,Middle Lane,transport_bus_stops,-0.1223994,51.5841897,Point
node,24952269,Cannon Street Station,transport_bus_stops,-0.0901807,51.5103278,Point
node,25273918,St Georges Centre,transport_bus_stops,-0.339458,51.5809833,Point
node,25273920,Kymberley Road,transport_bus_stops,-0.3383404,51.5803881,Point
node,25273922,Harrow Bus Station,transport_bus_stops,-0.3378523,51.5801331,Point
node,25425473,,transport_bus_stops,-0.3074288,51.5706054,Point
node,25477351,Liverpool Street Station,transport_bus_stops,-0.0806135,51.5174349,Point
node,25503841,Ludgate Hill / Old Bailey,transport_bus_stops,-0.101947,51.5139021,Point
node,25578567,Golders Green Station,transport_bus_stops,-0.194124,51.5717351,Point
node,25582026,Charlie Brown's Roundabout,transport_bus_stops,0.0351942,51.5944497,Point
node,25626799,Portman Street / Selfridges,transport_bus_stops,-0.1561998,51.5142563,Point
node,25645176,Barkingside Magistrates Court,transport_bus_stops,0.0814712,51.5880489,Point
node,25676420,Prologis Park,transport_bus_stops,-0.445821,51.5021884,Point
node,25695296,Shacklewell Lane,transport_bus_stops,-0.0737617,51.5508091,Point
node,25811340,Sidcup Station / Station Road,transport_bus_stops,0.1026348,51.4325647,Point
node,25811350,Crescent Road,transport_bus_stops,0.1022279,51.4311876,Point
node,25811356,Station Road / Crescent Road,transport_bus_stops,0.1021133,51.430516,Point
node,25879165,Stratton Road,transport_bus_stops,0.2432321,51.6061744,Point
node,25885349,New Eltham Station / Footscray Road,transport_bus_stops,0.0709616,51.4387512,Point
node,26070820,Windlass Place,transport_bus_stops,-0.0343015,51.4905335,Point
node,26200404,Waldens Farm,transport_bus_stops,0.1382491,51.3858355,Point
node,26243326,,transport_bus_stops,0.1884895,51.521791,Point
node,26640694,Shoreditch Church,transport_bus_stops,-0.077932,51.5259947,Point
node,26971068,Belmont Road,transport_bus_stops,-0.4782306,51.5479775,Point
node,26972010,Uxbridge Station,transport_bus_stops,-0.4786859,51.5469277,Point
node,26972017,Uxbridge Station,transport_bus_stops,-0.4783924,51.5466553,Point
node,26972040,York Road,transport_bus_stops,-0.4763243,51.5472231,Point
