candidate_case,LSOA21CD,LSOA21NM,borough_name,care_need_score,child_need,older_need,IMD_Decile,population_density,caregiving_centroid_access,caregiving_grid_access,caregiving_lowest_decile_access,within_lsoa_variation,caregiving_grid_mean_mismatch,caregiving_lisa,compound_count,compound_type,weakest_facility_category,weakest_facility_score,ranking_reason
Case 1 Barking Riverside / Thames View,E01000014,Barking and Dagenham 013B,Barking and Dagenham,51.4894860098294,56.8237104115325,22.4089625472086,2,5144.16718787907,14.4,29.8925044462751,16.6,10.3578162690964,1.64239870915074,High-high mismatch cluster,2,children_caregiver,healthcare_hospitals,0,Fixed case retained by design brief; Barking Riverside / Thames View LSOA set.
Case 1 Barking Riverside / Thames View,E01000090,Barking and Dagenham 020E,Barking and Dagenham,61.3904666350649,66.235179193945,18.6988050002495,3,876.487152238182,13.2,25.8275061099981,14.3333333333333,7.17229166144041,2.75304609044666,High-high mismatch cluster,2,children_caregiver,healthcare_hospitals,0,Fixed case retained by design brief; Barking Riverside / Thames View LSOA set.
Case 1 Barking Riverside / Thames View,E01000094,Barking and Dagenham 022C,Barking and Dagenham,77.3565403137356,76.2323216954196,4.33261876705954,3,4081.45480626862,29.4,24.8490458877156,10.95,9.03504412877788,4.11972965058855,High-high mismatch cluster,2,children_caregiver,healthcare_gps,0,Fixed case retained by design brief; Barking Riverside / Thames View LSOA set.
Case 1 Barking Riverside / Thames View,E01000095,Barking and Dagenham 018E,Barking and Dagenham,75.3718880120578,78.4486827395375,14.0138762134229,3,982.313704974992,8.4,25.2639776914928,8.96666666666667,7.56954313326797,3.92752784868183,High-high mismatch cluster,2,children_caregiver,healthcare_hospitals,0,Fixed case retained by design brief; Barking Riverside / Thames View LSOA set.
Case 1 Barking Riverside / Thames View,E01000096,Barking and Dagenham 022D,Barking and Dagenham,82.3618947920883,82.9309570650412,10.8306715915051,2,2771.22510427094,15.7333333333333,28.4798143946524,17.3,6.20150047868534,4.2485849537668,High-high mismatch cluster,2,children_caregiver,healthcare_hospitals,0,Fixed case retained by design brief; Barking Riverside / Thames View LSOA set.
Case 1 Barking Riverside / Thames View,E01034476,Barking and Dagenham 019G,Barking and Dagenham,81.0486047386822,81.7522899031686,5.510219151558,,2613.29477448091,14.8,31.4492894181582,10.7111111111111,9.54361749655941,3.91634962725546,High-high mismatch cluster,2,children_caregiver,healthcare_gps,0,Fixed case retained by design brief; Barking Riverside / Thames View LSOA set.
Case 1 Barking Riverside / Thames View,E01034478,Barking and Dagenham 019I,Barking and Dagenham,52.2529215745292,64.4297575373754,0.592982950539849,,935.959809629951,3.6,33.5882717480573,14.5111111111111,13.4830289342995,1.42298335682305,High-high mismatch cluster,2,children_caregiver,healthcare_gps,0,Fixed case retained by design brief; Barking Riverside / Thames View LSOA set.
Case 2 compound mismatch,E01002441,Hillingdon 003D,Hillingdon,33.5037280818404,35.772137429985,46.4864567322547,4,226.29721376196,0,17.9351145017527,0,14.5107731551099,1.09651742186245,High-high mismatch cluster,3,all_three,healthcare_gps,0,compound_count=3; caregiving LISA high-high; within-LSOA SD=14.51; weakest category=healthcare_gps
Case 2 compound mismatch,E01000756,Bromley 033D,Bromley,35.7440123408732,42.083123844315,50.1652605103001,10,1691.13923432979,28.0666666666667,11.6119707257395,2.72592592592593,12.9248222137907,1.7589554183484,High-high mismatch cluster,3,all_three,healthcare_pharmacies,0,compound_count=3; caregiving LISA high-high; within-LSOA SD=12.92; weakest category=healthcare_pharmacies
Case 2 compound mismatch,E01000027,Barking and Dagenham 001A,Barking and Dagenham,69.3275184768498,70.5702888715362,21.9638596534992,2,1404.6009549482,18,12.7268711259335,3.5,6.9859650489309,4.39224743776831,High-high mismatch cluster,3,all_three,healthcare_gps,0,compound_count=3; caregiving LISA high-high; within-LSOA SD=6.99; weakest category=healthcare_gps
Case 2 compound mismatch,E01002331,Havering 005E,Havering,39.0613647778477,44.5969196022844,39.2629094062843,6,5374.88366838268,8.4,9.33475745603434,8,11.0278016251902,2.20071895707862,High-high mismatch cluster,3,all_three,healthcare_gps,0,compound_count=3; caregiving LISA high-high; within-LSOA SD=11.03; weakest category=healthcare_gps
Case 2 compound mismatch,E01003726,Redbridge 002D,Redbridge,48.5939815087393,56.4099741066234,12.4007393353389,3,665.057492455772,9.6,0.733355242034746,0,7.95186534080734,3.62671998832795,High-high mismatch cluster,3,all_three,healthcare_gps,0,compound_count=3; caregiving LISA high-high; within-LSOA SD=7.95; weakest category=healthcare_gps
Case 3 positive counter-case,E01034474,Barking and Dagenham 015F,Barking and Dagenham,56.8160939667928,63.7899673758095,5.09499873988563,3,10876.2499910195,56.6,54.4699139102052,42.5333333333333,6.44987245616956,0.203458996869132,Not significant,0,none,healthcare_hospitals,0,nearest-neighbour need match distance=1.744; higher grid access=54.47; not high-high; compound_type=none
Case 3 positive counter-case,E01034473,Barking and Dagenham 015E,Barking and Dagenham,51.3067120186662,61.4775391909347,10.0593054823495,,8935.273962992,56.8,53.8084350438356,40.3333333333333,6.40376432505633,-0.192118849968947,Not significant,0,none,healthcare_hospitals,0,nearest-neighbour need match distance=1.889; higher grid access=53.81; not high-high; compound_type=none
Case 3 positive counter-case,E01003531,Newham 010C,Newham,55.1079316830771,61.5612419006618,19.6525311413958,3,10054.6008765471,63.6,59.3331530378323,42,9.7922434971784,-0.304829257411117,Not significant,0,none,healthcare_hospitals,0,nearest-neighbour need match distance=1.918; higher grid access=59.33; not high-high; compound_type=none
Case 3 positive counter-case,E01001361,Ealing 023E,Ealing,50.9097014281209,55.4848843311807,18.2447680948659,2,5977.09931616785,44.2666666666667,50.8510764240168,17.8222222222222,13.2272293555382,0.000769241472128757,Not significant,0,none,transport_underground_metro_stations,0,nearest-neighbour need match distance=2.153; higher grid access=50.85; not high-high; compound_type=none
Case 3 positive counter-case,E01003558,Newham 008B,Newham,52.0858648921292,58.0480147521356,15.6903273030002,2,11521.3141950196,32.0666666666667,52.8423827083186,39.1333333333333,7.38204904807251,-0.0555517782319044,Not significant,0,none,healthcare_hospitals,0,nearest-neighbour need match distance=2.224; higher grid access=52.84; not high-high; compound_type=none
