lsoa21cd,group,mode,grid_count,mean_basket_score,median_basket_score,min_basket_score,max_basket_score,mean_missing_facilities,any_na_basket
E01000001,caregiving_adults,walk_15min,5,70.52,72.4,60,79.4,0,FALSE
E01000002,caregiving_adults,walk_15min,12,61.91,60.73,57.2,70.73,0.17,FALSE
E01000003,caregiving_adults,walk_15min,6,70.02,69.3,66.93,76.87,0,FALSE
E01000005,caregiving_adults,walk_15min,12,66.94,67.8,58.13,76.93,1,FALSE
E01000006,caregiving_adults,walk_15min,13,23.91,24.8,7.47,36.93,2.77,FALSE
E01000007,caregiving_adults,walk_15min,18,44.04,47.63,14.93,53,2.56,FALSE
E01000008,caregiving_adults,walk_15min,8,30.18,32.63,8.93,42.53,2.75,FALSE
E01000009,caregiving_adults,walk_15min,12,39.72,39.37,33.67,47.4,2,FALSE
E01000011,caregiving_adults,walk_15min,9,31.9,32.73,25.8,39.53,2.33,FALSE
E01000012,caregiving_adults,walk_15min,15,29.13,29.13,2.4,43.6,3.27,FALSE
E01000013,caregiving_adults,walk_15min,20,48.9,51.83,25.07,65.53,2.05,FALSE
E01000014,caregiving_adults,walk_15min,22,32.39,31,15.2,57.93,2.86,FALSE
E01000015,caregiving_adults,walk_15min,28,28.75,27.5,16.67,45.07,1.86,FALSE
E01000016,caregiving_adults,walk_15min,18,24.27,23.03,14.8,39.73,4.5,FALSE
E01000017,caregiving_adults,walk_15min,15,24.49,24.27,17.47,42.4,4.13,FALSE
E01000018,caregiving_adults,walk_15min,17,29.39,26.6,19.2,45.4,3.29,FALSE
E01000019,caregiving_adults,walk_15min,21,33.07,32.93,23.8,42.6,3.71,FALSE
E01000020,caregiving_adults,walk_15min,16,26.3,25.1,16.2,35.8,3.62,FALSE
E01000021,caregiving_adults,walk_15min,16,39.06,39.2,29.4,47.73,4,FALSE
E01000022,caregiving_adults,walk_15min,15,30.78,31.8,21.6,40.27,4,FALSE
E01000024,caregiving_adults,walk_15min,11,28.55,32.27,13.87,35.07,4,FALSE
E01000025,caregiving_adults,walk_15min,15,24.55,24,14.6,38.8,3.47,FALSE
E01000027,caregiving_adults,walk_15min,34,15.94,16.8,0,30.8,6.47,FALSE
E01000028,caregiving_adults,walk_15min,13,13.31,15,6,18,6.31,FALSE
E01000029,caregiving_adults,walk_15min,28,16.39,16.37,7.2,25.27,5.36,FALSE
E01000030,caregiving_adults,walk_15min,29,20.08,21,8.2,26.8,6,FALSE
E01000031,caregiving_adults,walk_15min,25,36.22,37.4,19.07,58.13,3,FALSE
E01000032,caregiving_adults,walk_15min,29,33.26,33.73,13,56.2,2.28,FALSE
E01000033,caregiving_adults,walk_15min,15,15.64,16.27,9.67,24.27,5.27,FALSE
E01000034,caregiving_adults,walk_15min,24,19.89,20.07,11.87,27.13,5.38,FALSE
E01000035,caregiving_adults,walk_15min,30,23.17,23.37,10.67,38.4,4.7,FALSE
E01000036,caregiving_adults,walk_15min,16,29.29,29.3,18.53,41.07,3.06,FALSE
E01000037,caregiving_adults,walk_15min,24,17.82,16.67,11.67,29.13,5.38,FALSE
E01000038,caregiving_adults,walk_15min,22,22.31,20.87,14.53,32.67,5.27,FALSE
E01000039,caregiving_adults,walk_15min,37,12.6,12.53,4.8,26.6,5.95,FALSE
E01000040,caregiving_adults,walk_15min,18,41.31,40.47,14.93,59.87,2.44,FALSE
E01000041,caregiving_adults,walk_15min,17,32.4,32.2,25,41.2,2.94,FALSE
E01000042,caregiving_adults,walk_15min,20,25.75,24.67,12.2,37.6,3.75,FALSE
E01000043,caregiving_adults,walk_15min,21,28.55,27.07,9.2,46.47,2.71,FALSE
E01000044,caregiving_adults,walk_15min,18,42.78,43.67,11.73,56.2,2.28,FALSE
E01000045,caregiving_adults,walk_15min,21,29.41,33.07,8.8,39.67,3.38,FALSE
E01000046,caregiving_adults,walk_15min,16,26.94,28.33,16.33,33.2,2.56,FALSE
E01000049,caregiving_adults,walk_15min,18,39.47,38.4,25.93,53.07,2.33,FALSE
E01000050,caregiving_adults,walk_15min,12,51.04,53.03,36.2,58.53,2,FALSE
E01000051,caregiving_adults,walk_15min,6,58.6,59.3,54.93,61.33,2,FALSE
E01000052,caregiving_adults,walk_15min,19,41.56,44.6,20.6,60.27,2.26,FALSE
E01000053,caregiving_adults,walk_15min,18,34.02,35.07,10,53.2,2.56,FALSE
E01000054,caregiving_adults,walk_15min,15,33.44,34.87,17.13,40.93,3,FALSE
E01000055,caregiving_adults,walk_15min,16,25.77,27.23,11.53,38.53,3,FALSE
E01000056,caregiving_adults,walk_15min,22,26.15,27.4,9.2,34.13,3.18,FALSE
E01000057,caregiving_adults,walk_15min,13,36.86,40.6,11.53,46.07,3,FALSE
E01000058,caregiving_adults,walk_15min,19,30.91,32.13,19.67,43.53,2.89,FALSE
E01000059,caregiving_adults,walk_15min,19,35.47,35.33,30,46.4,2.05,FALSE
E01000060,caregiving_adults,walk_15min,31,35.5,33.93,14.33,60.4,2.71,FALSE
E01000061,caregiving_adults,walk_15min,17,37.11,44.13,13.2,57.8,3.12,FALSE
E01000062,caregiving_adults,walk_15min,22,22.02,21.4,13.27,28.13,4.59,FALSE
E01000063,caregiving_adults,walk_15min,20,37.66,37.9,29.6,46.33,2.25,FALSE
E01000064,caregiving_adults,walk_15min,23,18.59,19.07,12,29,5.35,FALSE
E01000065,caregiving_adults,walk_15min,24,30.84,30.43,24.13,41.67,4.04,FALSE
E01000066,caregiving_adults,walk_15min,24,18.69,18.5,10.8,32.47,4.54,FALSE
E01000067,caregiving_adults,walk_15min,19,25.68,25.67,19.53,35.8,4.05,FALSE
E01000068,caregiving_adults,walk_15min,25,24.15,25.47,13.13,33.53,3.08,FALSE
E01000069,caregiving_adults,walk_15min,19,32.09,33.6,14.4,43.93,2.58,FALSE
E01000070,caregiving_adults,walk_15min,26,35.63,36.47,26.13,45.67,3.31,FALSE
E01000071,caregiving_adults,walk_15min,28,29.67,31.47,8.4,44.8,3.21,FALSE
E01000072,caregiving_adults,walk_15min,30,29.47,31.73,10.93,40,3,FALSE
E01000073,caregiving_adults,walk_15min,19,27.4,29,14,35.8,2.95,FALSE
E01000074,caregiving_adults,walk_15min,17,25.67,24.33,19.2,36.73,3.47,FALSE
E01000075,caregiving_adults,walk_15min,32,37.74,38.1,20.8,48.47,2.94,FALSE
E01000076,caregiving_adults,walk_15min,16,29.78,30.13,19.4,38.67,2.06,FALSE
E01000077,caregiving_adults,walk_15min,16,29.38,29.4,21.47,34.8,4.38,FALSE
E01000078,caregiving_adults,walk_15min,19,23.71,24.07,18,28.27,4.89,FALSE
E01000079,caregiving_adults,walk_15min,19,25.07,23.33,14.53,41.73,4.21,FALSE
E01000080,caregiving_adults,walk_15min,17,23.78,24.4,15.07,34.53,4.94,FALSE
E01000081,caregiving_adults,walk_15min,18,24.39,24.9,17.87,30.53,4.83,FALSE
E01000082,caregiving_adults,walk_15min,15,29.12,29.6,19.33,41.67,3.67,FALSE
E01000083,caregiving_adults,walk_15min,21,22.71,22.8,13.6,32.4,4.86,FALSE
E01000084,caregiving_adults,walk_15min,15,55.79,56.8,39.87,65.47,0.8,FALSE
E01000085,caregiving_adults,walk_15min,14,45.38,46.13,34,54.87,0.57,FALSE
E01000086,caregiving_adults,walk_15min,14,41.19,43.47,20.8,57,1.43,FALSE
E01000087,caregiving_adults,walk_15min,28,35.48,36.23,9.6,50.93,2.68,FALSE
E01000088,caregiving_adults,walk_15min,17,36.11,37.2,23.33,43.8,2.53,FALSE
E01000089,caregiving_adults,walk_15min,15,30.98,30.73,26.27,37.2,3.93,FALSE
E01000090,caregiving_adults,walk_15min,33,28.67,30.53,12,41.13,4,FALSE
E01000091,caregiving_adults,walk_15min,23,32.63,32.8,11.2,44.33,4.09,FALSE
E01000093,caregiving_adults,walk_15min,17,36.53,37.47,14.4,45.93,4.12,FALSE
E01000094,caregiving_adults,walk_15min,35,26.47,26.4,7,44.33,4.11,FALSE
E01000095,caregiving_adults,walk_15min,38,21.48,21.4,0,44,4.63,FALSE
E01000096,caregiving_adults,walk_15min,20,26.86,27.73,16.53,38.53,3.55,FALSE
E01000097,caregiving_adults,walk_15min,18,32.95,34.13,23.73,41.33,2.94,FALSE
E01000098,caregiving_adults,walk_15min,19,27.9,27.53,19.4,39.6,3.95,FALSE
E01000099,caregiving_adults,walk_15min,27,26.6,26.33,8.47,41.33,4.04,FALSE
