lsoa21cd,LSOA21NM,borough_name,london_ring,grid_count,unmatched_grid_count,min_grid_area_sqm,median_grid_area_sqm,max_grid_area_sqm
E01000001,City of London 001A,City of London,Inner London,13,0,10000,10000,10000
E01000002,City of London 001B,City of London,Inner London,23,0,10000,10000,10000
E01000003,City of London 001C,City of London,Inner London,6,0,10000,10000,10000
E01000005,City of London 001E,City of London,Inner London,20,0,10000,10000,10000
E01000006,Barking and Dagenham 016A,Barking and Dagenham,Outer London,13,0,10000,10000,10000
E01000007,Barking and Dagenham 015A,Barking and Dagenham,Outer London,20,0,10000,10000,10000
E01000008,Barking and Dagenham 015B,Barking and Dagenham,Outer London,19,0,10000,10000,10000
E01000009,Barking and Dagenham 016B,Barking and Dagenham,Outer London,12,0,10000,10000,10000
E01000011,Barking and Dagenham 016C,Barking and Dagenham,Outer London,9,0,10000,10000,10000
E01000012,Barking and Dagenham 015D,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000013,Barking and Dagenham 013A,Barking and Dagenham,Outer London,20,0,10000,10000,10000
E01000014,Barking and Dagenham 013B,Barking and Dagenham,Outer London,34,0,10000,10000,10000
E01000015,Barking and Dagenham 009A,Barking and Dagenham,Outer London,28,0,10000,10000,10000
E01000016,Barking and Dagenham 009B,Barking and Dagenham,Outer London,19,0,10000,10000,10000
E01000017,Barking and Dagenham 009C,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000018,Barking and Dagenham 009D,Barking and Dagenham,Outer London,17,0,10000,10000,10000
E01000019,Barking and Dagenham 023A,Barking and Dagenham,Outer London,21,0,10000,10000,10000
E01000020,Barking and Dagenham 023B,Barking and Dagenham,Outer London,16,0,10000,10000,10000
E01000021,Barking and Dagenham 008A,Barking and Dagenham,Outer London,16,0,10000,10000,10000
E01000022,Barking and Dagenham 008B,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000024,Barking and Dagenham 008D,Barking and Dagenham,Outer London,11,0,10000,10000,10000
E01000025,Barking and Dagenham 008E,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000027,Barking and Dagenham 001A,Barking and Dagenham,Outer London,142,0,10000,10000,10000
E01000028,Barking and Dagenham 001B,Barking and Dagenham,Outer London,13,0,10000,10000,10000
E01000029,Barking and Dagenham 001C,Barking and Dagenham,Outer London,28,0,10000,10000,10000
E01000030,Barking and Dagenham 001D,Barking and Dagenham,Outer London,30,0,10000,10000,10000
E01000031,Barking and Dagenham 002A,Barking and Dagenham,Outer London,84,0,10000,10000,10000
E01000032,Barking and Dagenham 002B,Barking and Dagenham,Outer London,36,0,10000,10000,10000
E01000033,Barking and Dagenham 006A,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000034,Barking and Dagenham 003A,Barking and Dagenham,Outer London,50,0,10000,10000,10000
E01000035,Barking and Dagenham 010A,Barking and Dagenham,Outer London,41,0,10000,10000,10000
E01000036,Barking and Dagenham 010B,Barking and Dagenham,Outer London,39,0,10000,10000,10000
E01000037,Barking and Dagenham 003B,Barking and Dagenham,Outer London,24,0,10000,10000,10000
E01000038,Barking and Dagenham 003C,Barking and Dagenham,Outer London,22,0,10000,10000,10000
E01000039,Barking and Dagenham 003D,Barking and Dagenham,Outer London,158,0,10000,10000,10000
E01000040,Barking and Dagenham 019A,Barking and Dagenham,Outer London,18,0,10000,10000,10000
E01000041,Barking and Dagenham 017A,Barking and Dagenham,Outer London,17,0,10000,10000,10000
E01000042,Barking and Dagenham 017B,Barking and Dagenham,Outer London,23,0,10000,10000,10000
E01000043,Barking and Dagenham 019B,Barking and Dagenham,Outer London,26,0,10000,10000,10000
E01000044,Barking and Dagenham 016D,Barking and Dagenham,Outer London,18,0,10000,10000,10000
E01000045,Barking and Dagenham 017C,Barking and Dagenham,Outer London,27,0,10000,10000,10000
E01000046,Barking and Dagenham 017D,Barking and Dagenham,Outer London,16,0,10000,10000,10000
E01000049,Barking and Dagenham 021C,Barking and Dagenham,Outer London,21,0,10000,10000,10000
E01000050,Barking and Dagenham 019C,Barking and Dagenham,Outer London,12,0,10000,10000,10000
E01000051,Barking and Dagenham 021D,Barking and Dagenham,Outer London,6,0,10000,10000,10000
E01000052,Barking and Dagenham 019D,Barking and Dagenham,Outer London,20,0,10000,10000,10000
E01000053,Barking and Dagenham 020A,Barking and Dagenham,Outer London,19,0,10000,10000,10000
E01000054,Barking and Dagenham 018A,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000055,Barking and Dagenham 018B,Barking and Dagenham,Outer London,16,0,10000,10000,10000
E01000056,Barking and Dagenham 018C,Barking and Dagenham,Outer London,25,0,10000,10000,10000
E01000057,Barking and Dagenham 012A,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000058,Barking and Dagenham 018D,Barking and Dagenham,Outer London,19,0,10000,10000,10000
E01000059,Barking and Dagenham 013C,Barking and Dagenham,Outer London,20,0,10000,10000,10000
E01000060,Barking and Dagenham 006B,Barking and Dagenham,Outer London,55,0,10000,10000,10000
E01000061,Barking and Dagenham 006C,Barking and Dagenham,Outer London,56,0,10000,10000,10000
E01000062,Barking and Dagenham 006D,Barking and Dagenham,Outer London,22,0,10000,10000,10000
E01000063,Barking and Dagenham 004A,Barking and Dagenham,Outer London,20,0,10000,10000,10000
E01000064,Barking and Dagenham 006E,Barking and Dagenham,Outer London,23,0,10000,10000,10000
E01000065,Barking and Dagenham 007A,Barking and Dagenham,Outer London,24,0,10000,10000,10000
E01000066,Barking and Dagenham 011A,Barking and Dagenham,Outer London,25,0,10000,10000,10000
E01000067,Barking and Dagenham 011B,Barking and Dagenham,Outer London,19,0,10000,10000,10000
E01000068,Barking and Dagenham 016E,Barking and Dagenham,Outer London,34,0,10000,10000,10000
E01000069,Barking and Dagenham 011C,Barking and Dagenham,Outer London,19,0,10000,10000,10000
E01000070,Barking and Dagenham 011D,Barking and Dagenham,Outer London,41,0,10000,10000,10000
E01000071,Barking and Dagenham 011E,Barking and Dagenham,Outer London,28,0,10000,10000,10000
E01000072,Barking and Dagenham 017E,Barking and Dagenham,Outer London,55,0,10000,10000,10000
E01000073,Barking and Dagenham 012B,Barking and Dagenham,Outer London,25,0,10000,10000,10000
E01000074,Barking and Dagenham 012C,Barking and Dagenham,Outer London,17,0,10000,10000,10000
E01000075,Barking and Dagenham 012D,Barking and Dagenham,Outer London,53,0,10000,10000,10000
E01000076,Barking and Dagenham 012E,Barking and Dagenham,Outer London,16,0,10000,10000,10000
E01000077,Barking and Dagenham 008F,Barking and Dagenham,Outer London,16,0,10000,10000,10000
E01000078,Barking and Dagenham 007B,Barking and Dagenham,Outer London,19,0,10000,10000,10000
E01000079,Barking and Dagenham 009E,Barking and Dagenham,Outer London,30,0,10000,10000,10000
E01000080,Barking and Dagenham 007C,Barking and Dagenham,Outer London,23,0,10000,10000,10000
E01000081,Barking and Dagenham 007D,Barking and Dagenham,Outer London,18,0,10000,10000,10000
E01000082,Barking and Dagenham 007E,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000083,Barking and Dagenham 007F,Barking and Dagenham,Outer London,21,0,10000,10000,10000
E01000084,Barking and Dagenham 013D,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000085,Barking and Dagenham 013E,Barking and Dagenham,Outer London,14,0,10000,10000,10000
E01000086,Barking and Dagenham 013F,Barking and Dagenham,Outer London,14,0,10000,10000,10000
E01000087,Barking and Dagenham 020B,Barking and Dagenham,Outer London,40,0,10000,10000,10000
E01000088,Barking and Dagenham 020C,Barking and Dagenham,Outer London,21,0,10000,10000,10000
E01000089,Barking and Dagenham 020D,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000090,Barking and Dagenham 020E,Barking and Dagenham,Outer London,194,0,10000,10000,10000
E01000091,Barking and Dagenham 022A,Barking and Dagenham,Outer London,28,0,10000,10000,10000
E01000093,Barking and Dagenham 022B,Barking and Dagenham,Outer London,26,0,10000,10000,10000
E01000094,Barking and Dagenham 022C,Barking and Dagenham,Outer London,57,0,10000,10000,10000
E01000095,Barking and Dagenham 018E,Barking and Dagenham,Outer London,225,0,10000,10000,10000
E01000096,Barking and Dagenham 022D,Barking and Dagenham,Outer London,62,0,10000,10000,10000
E01000097,Barking and Dagenham 023C,Barking and Dagenham,Outer London,18,0,10000,10000,10000
E01000098,Barking and Dagenham 023D,Barking and Dagenham,Outer London,19,0,10000,10000,10000
E01000099,Barking and Dagenham 023E,Barking and Dagenham,Outer London,30,0,10000,10000,10000
E01000100,Barking and Dagenham 004B,Barking and Dagenham,Outer London,19,0,10000,10000,10000
E01000101,Barking and Dagenham 004C,Barking and Dagenham,Outer London,15,0,10000,10000,10000
E01000102,Barking and Dagenham 007G,Barking and Dagenham,Outer London,25,0,10000,10000,10000
E01000103,Barking and Dagenham 014A,Barking and Dagenham,Outer London,71,0,10000,10000,10000
E01000104,Barking and Dagenham 014B,Barking and Dagenham,Outer London,21,0,10000,10000,10000
E01000105,Barking and Dagenham 014C,Barking and Dagenham,Outer London,23,0,10000,10000,10000
E01000106,Barking and Dagenham 014D,Barking and Dagenham,Outer London,23,0,10000,10000,10000
E01000107,Barking and Dagenham 010C,Barking and Dagenham,Outer London,55,0,10000,10000,10000
E01000108,Barking and Dagenham 010D,Barking and Dagenham,Outer London,25,0,10000,10000,10000
E01000110,Barking and Dagenham 002C,Barking and Dagenham,Outer London,18,0,10000,10000,10000
E01000111,Barking and Dagenham 002D,Barking and Dagenham,Outer London,33,0,10000,10000,10000
E01000112,Barking and Dagenham 002E,Barking and Dagenham,Outer London,27,0,10000,10000,10000
E01000113,Barking and Dagenham 002F,Barking and Dagenham,Outer London,17,0,10000,10000,10000
E01000114,Barking and Dagenham 004E,Barking and Dagenham,Outer London,28,0,10000,10000,10000
E01000115,Barnet 009A,Barnet,Outer London,29,0,10000,10000,10000
E01000116,Barnet 009B,Barnet,Outer London,23,0,10000,10000,10000
E01000117,Barnet 010A,Barnet,Outer London,34,0,10000,10000,10000
E01000118,Barnet 010B,Barnet,Outer London,30,0,10000,10000,10000
E01000119,Barnet 009C,Barnet,Outer London,42,0,10000,10000,10000
E01000120,Barnet 009D,Barnet,Outer London,23,0,10000,10000,10000
E01000121,Barnet 010C,Barnet,Outer London,36,0,10000,10000,10000
E01000122,Barnet 009E,Barnet,Outer London,23,0,10000,10000,10000
E01000123,Barnet 010D,Barnet,Outer London,52,0,10000,10000,10000
E01000124,Barnet 010E,Barnet,Outer London,27,0,10000,10000,10000
E01000126,Barnet 026A,Barnet,Outer London,17,0,10000,10000,10000
E01000127,Barnet 024B,Barnet,Outer London,17,0,10000,10000,10000
E01000128,Barnet 024C,Barnet,Outer London,26,0,10000,10000,10000
E01000129,Barnet 024D,Barnet,Outer London,19,0,10000,10000,10000
E01000130,Barnet 021A,Barnet,Outer London,16,0,10000,10000,10000
E01000131,Barnet 024E,Barnet,Outer London,33,0,10000,10000,10000
E01000132,Barnet 021B,Barnet,Outer London,17,0,10000,10000,10000
E01000133,Barnet 021C,Barnet,Outer London,16,0,10000,10000,10000
E01000134,Barnet 024F,Barnet,Outer London,19,0,10000,10000,10000
E01000135,Barnet 038A,Barnet,Outer London,32,0,10000,10000,10000
E01000136,Barnet 038B,Barnet,Outer London,54,0,10000,10000,10000
E01000137,Barnet 041A,Barnet,Outer London,11,0,10000,10000,10000
E01000138,Barnet 040A,Barnet,Outer London,26,0,10000,10000,10000
E01000139,Barnet 041B,Barnet,Outer London,35,0,10000,10000,10000
E01000140,Barnet 041C,Barnet,Outer London,16,0,10000,10000,10000
E01000141,Barnet 039A,Barnet,Outer London,37,0,10000,10000,10000
E01000142,Barnet 040B,Barnet,Outer London,20,0,10000,10000,10000
E01000143,Barnet 041D,Barnet,Outer London,17,0,10000,10000,10000
E01000144,Barnet 038C,Barnet,Outer London,23,0,10000,10000,10000
E01000145,Barnet 037A,Barnet,Outer London,20,0,10000,10000,10000
E01000146,Barnet 038D,Barnet,Outer London,19,0,10000,10000,10000
E01000147,Barnet 043F,Barnet,Outer London,19,0,10000,10000,10000
E01000150,Barnet 036A,Barnet,Outer London,45,0,10000,10000,10000
E01000151,Barnet 026B,Barnet,Outer London,13,0,10000,10000,10000
E01000152,Barnet 026C,Barnet,Outer London,17,0,10000,10000,10000
E01000153,Barnet 026D,Barnet,Outer London,20,0,10000,10000,10000
E01000154,Barnet 026E,Barnet,Outer London,13,0,10000,10000,10000
E01000156,Barnet 022A,Barnet,Outer London,18,0,10000,10000,10000
E01000157,Barnet 022B,Barnet,Outer London,12,0,10000,10000,10000
E01000158,Barnet 015A,Barnet,Outer London,25,0,10000,10000,10000
E01000159,Barnet 015B,Barnet,Outer London,52,0,10000,10000,10000
E01000160,Barnet 015C,Barnet,Outer London,28,0,10000,10000,10000
E01000161,Barnet 015D,Barnet,Outer London,24,0,10000,10000,10000
E01000162,Barnet 015E,Barnet,Outer London,16,0,10000,10000,10000
E01000163,Barnet 022C,Barnet,Outer London,22,0,10000,10000,10000
E01000164,Barnet 022D,Barnet,Outer London,55,0,10000,10000,10000
E01000165,Barnet 022E,Barnet,Outer London,19,0,10000,10000,10000
E01000166,Barnet 003A,Barnet,Outer London,38,0,10000,10000,10000
E01000167,Barnet 002A,Barnet,Outer London,58,0,10000,10000,10000
E01000168,Barnet 003B,Barnet,Outer London,31,0,10000,10000,10000
E01000169,Barnet 003C,Barnet,Outer London,27,0,10000,10000,10000
E01000170,Barnet 006A,Barnet,Outer London,29,0,10000,10000,10000
E01000171,Barnet 006B,Barnet,Outer London,34,0,10000,10000,10000
E01000172,Barnet 003D,Barnet,Outer London,56,0,10000,10000,10000
E01000173,Barnet 006C,Barnet,Outer London,35,0,10000,10000,10000
E01000174,Barnet 006D,Barnet,Outer London,19,0,10000,10000,10000
E01000175,Barnet 006E,Barnet,Outer London,50,0,10000,10000,10000
E01000176,Barnet 027A,Barnet,Outer London,21,0,10000,10000,10000
E01000177,Barnet 029A,Barnet,Outer London,19,0,10000,10000,10000
E01000178,Barnet 027B,Barnet,Outer London,41,0,10000,10000,10000
E01000179,Barnet 029B,Barnet,Outer London,15,0,10000,10000,10000
E01000180,Barnet 029C,Barnet,Outer London,17,0,10000,10000,10000
E01000181,Barnet 029D,Barnet,Outer London,13,0,10000,10000,10000
E01000182,Barnet 029E,Barnet,Outer London,23,0,10000,10000,10000
E01000183,Barnet 033A,Barnet,Outer London,23,0,10000,10000,10000
E01000184,Barnet 027C,Barnet,Outer London,67,0,10000,10000,10000
E01000185,Barnet 029F,Barnet,Outer London,13,0,10000,10000,10000
E01000186,Barnet 014A,Barnet,Outer London,26,0,10000,10000,10000
E01000187,Barnet 014B,Barnet,Outer London,19,0,10000,10000,10000
E01000188,Barnet 014C,Barnet,Outer London,321,0,10000,10000,10000
E01000189,Barnet 014D,Barnet,Outer London,15,0,10000,10000,10000
E01000190,Barnet 014E,Barnet,Outer London,24,0,10000,10000,10000
E01000191,Barnet 014F,Barnet,Outer London,27,0,10000,10000,10000
E01000192,Barnet 018A,Barnet,Outer London,31,0,10000,10000,10000
E01000193,Barnet 018B,Barnet,Outer London,27,0,10000,10000,10000
E01000194,Barnet 018C,Barnet,Outer London,35,0,10000,10000,10000
E01000195,Barnet 013A,Barnet,Outer London,32,0,10000,10000,10000
E01000196,Barnet 028A,Barnet,Outer London,26,0,10000,10000,10000
E01000197,Barnet 023A,Barnet,Outer London,29,0,10000,10000,10000
