borough,two_group_n,three_group_n,any_compound_pct
Barking and Dagenham,84,8,80
Hillingdon,76,16,54.1
Redbridge,63,7,42.9
Enfield,67,4,38.8
Havering,23,25,31.4
Bexley,33,11,29.7
Bromley,35,24,29.6
Harrow,22,9,21.5
Hounslow,26,3,19.3
Croydon,26,12,16.6
Newham,28,0,15.1
Kingston upon Thames,10,4,14.1
Sutton,14,2,13
Ealing,24,0,12.1
Barnet,16,5,9.5
Greenwich,11,1,7.3
Brent,9,1,5.5
Richmond upon Thames,2,2,3.5
Waltham Forest,2,0,1.4
Lewisham,2,0,1.1
Merton,1,0,0.8
Hackney,1,0,0.7
Southwark,1,0,0.6
Haringey,0,0,0
Camden,0,0,0
Kensington and Chelsea,0,0,0
Wandsworth,0,0,0
City of London,0,0,0
Hammersmith and Fulham,0,0,0
Islington,0,0,0
Lambeth,0,0,0
Tower Hamlets,0,0,0
Westminster,0,0,0
