borough,borough_lsoa_count,single_group_count,two_group_count,three_group_count,share_of_borough_lsoas
Havering,153,82,23,25,84.97
Bromley,199,71,35,24,65.33
Hillingdon,170,49,76,16,82.94
Croydon,229,56,26,12,41.05
Bexley,148,93,33,11,92.57
Harrow,144,38,22,9,47.92
Barking and Dagenham,115,8,84,8,86.96
Redbridge,163,33,63,7,63.19
Barnet,220,75,16,5,43.64
Enfield,183,54,67,4,68.31
Kingston upon Thames,99,25,10,4,39.39
Hounslow,150,16,26,3,30
Sutton,123,36,14,2,42.28
Richmond upon Thames,115,27,2,2,26.96
Greenwich,164,32,11,1,26.83
Brent,181,18,9,1,15.47
Newham,185,6,28,0,18.38
Ealing,199,10,24,0,17.09
Waltham Forest,146,12,2,0,9.59
Lewisham,175,3,2,0,2.86
Merton,126,24,1,0,19.84
Hackney,149,6,1,0,4.7
Southwark,173,1,1,0,1.16
Haringey,147,5,0,0,3.4
Camden,130,4,0,0,3.08
Kensington and Chelsea,101,1,0,0,0.99
Wandsworth,186,1,0,0,0.54
City of London,6,0,0,0,0
Hammersmith and Fulham,115,0,0,0,0
Islington,126,0,0,0,0
Lambeth,181,0,0,0,0
Tower Hamlets,168,0,0,0,0
Westminster,123,0,0,0,0
