facility_category,scenario,eta_sq_h,p_value,n,q_bh_16,facility,significant_bh
education_schools,WALK + PT 30,0.0387,2.023e-36,4727,8.092e-36,Schools,TRUE
education_schools,WALK 15,0.0294,4.195e-25,4360,7.45777777777778e-25,Schools,TRUE
food_retail_supermarkets,WALK + PT 30,0.0444,1.12e-41,4686,5.97333333333333e-41,Supermarkets,TRUE
food_retail_supermarkets,WALK 15,0.0249,6.922e-15,3133,1.00683636363636e-14,Supermarkets,TRUE
green_space_parks,WALK + PT 30,0.066,9.939e-64,4734,1.59024e-62,Parks,TRUE
green_space_parks,WALK 15,0.0522,5.814e-43,4099,4.6512e-42,Parks,TRUE
healthcare_gps,WALK + PT 30,0.0302,3.799e-27,4584,7.598e-27,GPs,TRUE
healthcare_gps,WALK 15,0.0081,0.0001584,2917,0.0002112,GPs,TRUE
healthcare_hospitals,WALK + PT 30,0.003,0.02806,3224,0.0345353846153846,Hospitals,TRUE
healthcare_hospitals,WALK 15,0.0034,0.2708,611,0.288853333333333,Hospitals,FALSE
healthcare_pharmacies,WALK + PT 30,0.0312,8.544e-29,4691,2.73408e-28,Pharmacies,TRUE
healthcare_pharmacies,WALK 15,0.0227,3.915e-15,3496,6.264e-15,Pharmacies,TRUE
transport_bus_stops,WALK + PT 30,0.0297,8.424e-28,4759,1.92548571428571e-27,Bus stops,TRUE
transport_bus_stops,WALK 15,0.0297,8.116e-28,4758,1.92548571428571e-27,Bus stops,TRUE
transport_underground_metro_stations,WALK + PT 30,0.0019,0.09832,3105,0.112365714285714,Underground / metro,FALSE
transport_underground_metro_stations,WALK 15,0,0.5908,1332,0.5908,Underground / metro,FALSE
