LSOA21CD,IMD_Decile,group_key,accessibility_score,group,imd
E01000001,9,family_walk_index,61.3333333333333,Children,9
E01000002,10,family_walk_index,62,Children,10
E01000003,5,family_walk_index,75.4666666666667,Children,5
E01000005,3,family_walk_index,75.0666666666667,Children,3
E01000006,5,family_walk_index,35.2,Children,5
E01000007,3,family_walk_index,61.6,Children,3
E01000008,2,family_walk_index,41.2,Children,2
E01000009,3,family_walk_index,42,Children,3
E01000011,3,family_walk_index,36.6666666666667,Children,3
E01000012,2,family_walk_index,30.5333333333333,Children,2
E01000013,2,family_walk_index,31.0666666666667,Children,2
E01000014,2,family_walk_index,16.6666666666667,Children,2
E01000015,2,family_walk_index,38.6666666666667,Children,2
E01000016,3,family_walk_index,26.5333333333333,Children,3
E01000017,2,family_walk_index,20.9333333333333,Children,2
E01000018,2,family_walk_index,33.3333333333333,Children,2
E01000019,2,family_walk_index,40.6666666666667,Children,2
E01000020,2,family_walk_index,24.9333333333333,Children,2
E01000021,2,family_walk_index,45.2,Children,2
E01000022,2,family_walk_index,25.4666666666667,Children,2
E01000024,3,family_walk_index,33.4666666666667,Children,3
E01000025,2,family_walk_index,15.4666666666667,Children,2
E01000027,2,family_walk_index,10,Children,2
E01000028,2,family_walk_index,6.66666666666667,Children,2
E01000029,4,family_walk_index,15.3333333333333,Children,4
E01000030,2,family_walk_index,26.6666666666667,Children,2
E01000031,4,family_walk_index,10.6666666666667,Children,4
E01000032,3,family_walk_index,28.8,Children,3
E01000033,2,family_walk_index,9.33333333333333,Children,2
E01000034,2,family_walk_index,12.6666666666667,Children,2
E01000035,4,family_walk_index,9.86666666666667,Children,4
E01000036,5,family_walk_index,8,Children,5
E01000037,5,family_walk_index,14.6666666666667,Children,5
E01000038,5,family_walk_index,20.6666666666667,Children,5
E01000039,4,family_walk_index,19.3333333333333,Children,4
E01000040,2,family_walk_index,53.0666666666667,Children,2
E01000041,3,family_walk_index,39.0666666666667,Children,3
E01000042,2,family_walk_index,27.6,Children,2
E01000043,3,family_walk_index,32.4,Children,3
E01000044,3,family_walk_index,66.9333333333333,Children,3
E01000045,2,family_walk_index,42,Children,2
E01000046,3,family_walk_index,26,Children,3
E01000049,2,family_walk_index,54,Children,2
E01000050,2,family_walk_index,59.8666666666667,Children,2
E01000051,2,family_walk_index,67.8666666666667,Children,2
E01000052,2,family_walk_index,40.8,Children,2
E01000053,2,family_walk_index,38,Children,2
E01000054,3,family_walk_index,53.2,Children,3
E01000055,3,family_walk_index,26.5333333333333,Children,3
E01000056,2,family_walk_index,51.2,Children,2
E01000057,3,family_walk_index,39.6,Children,3
E01000058,3,family_walk_index,36,Children,3
E01000059,3,family_walk_index,50.9333333333334,Children,3
E01000060,2,family_walk_index,38,Children,2
E01000061,1,family_walk_index,52.8,Children,1
E01000062,3,family_walk_index,22,Children,3
E01000063,2,family_walk_index,41.7333333333333,Children,2
E01000064,2,family_walk_index,8.66666666666667,Children,2
E01000065,2,family_walk_index,37.4666666666667,Children,2
E01000066,4,family_walk_index,23.3333333333333,Children,4
E01000067,5,family_walk_index,33.3333333333333,Children,5
E01000068,4,family_walk_index,40.5333333333333,Children,4
E01000069,6,family_walk_index,33.2,Children,6
E01000070,5,family_walk_index,54.6666666666667,Children,5
E01000071,5,family_walk_index,30.1333333333333,Children,5
E01000072,2,family_walk_index,27.2,Children,2
E01000073,2,family_walk_index,47.4666666666667,Children,2
